work,book,line,sentence_id,verb_lemma,voice,mood,tense,sbj,obj,pnom,obliques,n_args
Iliad,1,53,2274131,οἴχομαι,medio-passive,i,i,κῆλον,,,ἀνά:a:στρατός,2
Iliad,1,54,2274131a,καλέω,middle,i,a,Ἀχιλλεύς,ἀγορά|λαός,,:d:δέκατος,4
Iliad,1,55,2274132,τίθημι,active,i,a,θεά|Ἥρα,,,ἐπί:d:φρήν,3
Iliad,1,56,2274133,κήδω,medio-passive,i,i,,Δαναοί,,,1
Iliad,1,56,2274133,θνήσκω,active,p,p,,,,,0
Iliad,1,56,2274133,ὁράω,medio-passive,i,i,,,,,0
Iliad,1,57,2274134,ἀγείρω,passive,i,a,,,,,0
Iliad,1,57,2274134,γίγνομαι,middle,i,a,,,ὁμηγερής,,1
Iliad,1,58,2274134,ἀνίστημι,medio-passive,p,p,,,,,0
Iliad,1,58,2274134,μετάφημι,active,i,a,Ἀχιλλεύς,ὁ,,,2
Iliad,1,59,2274135,παλιμπλάζομαι,passive,p,a,,,,,0
Iliad,1,59,2274135,οἴομαι,active,i,p,,,,,0
Iliad,1,60,2274135,ἀπονοστέω,active,n,f,ἐγώ,,,,1
Iliad,1,60,2274135,φεύγω,active,o,a,,θάνατος,,,1
Iliad,1,61,2274135,δαμάζω,active,i,f,πόλεμος|λοιμός,Ἀχαιός,,,3
Iliad,1,62,2274136,εἴρω2,active,s,p,,μάντις|ἱερεύς|ὀνειροπόλος,,,3
Iliad,1,63,2274136,εἰμί,active,i,p,ὄναρ,,,ἐκ:g:Ζεύς,2
Iliad,1,64,2274136,εἶπον,active,o,a,ὅς|Ἀπόλλων,,,:a:ὅς;:a:τόσος,4
Iliad,1,64,2274136,χώομαι,middle,i,a,Ἀπόλλων,,,:a:ὅς;:a:τόσος,3
Iliad,1,65,2274136,ἐπιμέμφομαι,medio-passive,i,p,ὁ,εὐχωλή|ἑκατόμβη,,,3
Iliad,1,67,2274136,βούλομαι,medio-passive,s,p,,,,,0
Iliad,1,67,2274136,ἀντιάω,active,p,a,,κνῖσα,,,1
Iliad,1,67,2274136,ἀμύνω,active,n,a,,ἐγώ|λοιγός,,,2
Iliad,1,68,2274137,εἶπον,active,p,a,,,,,0
Iliad,1,68,2274137,ἕζομαι,middle,i,i,ὁ,,,,1
Iliad,1,68,2274138,ἀνίστημι,active,i,a,Κάλχας,ὁ,,,2
Iliad,1,70,2274138,οἶδα,active,i,l,,ὁ|ὁ,,,2
Iliad,1,70,2274138,εἰμί,active,p,p,,,,,0
Iliad,1,70,2274138,εἰμί,middle,p,f,,,,,0
Iliad,1,70,2274138,εἰμί,active,p,p,,,,,0
Iliad,1,71,2274138,ἡγέομαι,middle,i,a,,ναῦς,,εἴσω:a:Ἴλιος;διά:a:μαντοσύνη,3
Iliad,1,72,2274138,πόρω,active,i,a,Ἀπόλλων,ὁ|ἕ,,,3
Iliad,1,73,2274139,φρονέω,active,p,p,,,,,0
Iliad,1,73,2274139,ἀγοράομαι,middle,i,a,,,,,0
Iliad,1,73,2274139,μετεῖπον,active,i,a,,,,,0
Iliad,1,74,2274140,κέλομαι,medio-passive,i,p,,,,,0
