lemma,frequency,hdbscan_cluster,leiden_cluster
τιτύσκομαι,17,-1,3
ἐφορμάω,17,-1,21
ἑκάτερθε,17,-1,52
ἐμπίπτω,17,-1,19
μαστός,17,-1,3
ζωστήρ,17,-1,7
δαιδάλεος,17,-1,7
αἴ,17,-1,9
πύματος,17,-1,36
δαίτη,17,-1,45
μήστωρ,17,-1,2
χείρων,17,-1,33
νωλεμές,17,-1,15
μετέρχομαι,17,-1,39
ἐκφεύγω,17,-1,23
ἐξελαύνω,17,-1,21
ἄλλως,17,-1,29
ἐκφέρω,17,-1,4
ἀμφοτέρωθεν,17,-1,3
ἠεροειδής,17,-1,18
μέθυ,17,-1,32
τάλαντον,17,-1,20
γαιήοχος,17,-1,11
φθέγγομαι,17,-1,5
Αὐτόλυκος,17,-1,48
δρῦς,17,-1,31
φάσκω,17,-1,46
τροφός,17,29,14
μῆνις,16,-1,43
ἐκπέρθω,16,39,13
ἔπειμι2,16,26,39
ἀντιάω,16,-1,45
μηρία,16,-1,22
κνῖσα,16,-1,22
χερείων,16,-1,14
καλλιπάρηος,16,15,6
δηλέομαι,16,-1,21
θαμβέω,16,-1,14
τηλόθεν,16,24,46
ἀναιρέω,16,-1,13
κελαινός,16,7,27
πένομαι,16,-1,45
ὀνίνημι,16,-1,29
κνέφας,16,-1,35
Μοῦσα,16,-1,47
κατακείω,16,21,26
παννύχιος,16,-1,35
φόως,16,-1,10
ἐννέα,16,-1,20
ἀγανός,16,-1,6
ἐκπίπτω,16,-1,19
θήν,16,-1,8
πτολίπορθος,16,-1,32
ἐπαινέω,16,6,5
μέτειμι,16,-1,39
τιταίνω,16,-1,54
λάζομαι,16,-1,43
μελία,16,-1,3
κόλπος,16,-1,31
τέταρτος,16,-1,46
Δάρδανος,16,-1,15
ὀρυμαγδός,16,-1,53
αἴθων,16,-1,20
ῥοή,16,-1,44
ἐσσύμενος,16,-1,4
ὄχθη,16,-1,30
κνήμη,16,42,7
παρέχω,16,-1,45
κάλλος,16,-1,28
θήρ,16,-1,20
κλειτός,16,-1,2
ὕπτιος,16,-1,19
κέρας,16,-1,20
εἴκελος,16,-1,47
χέρσος,16,-1,12
σκότος,16,-1,19
χερμάδιον,16,-1,3
παλάσσω,16,-1,7
πέπλος,16,-1,52
ἀλλότριος,16,-1,38
τρέω,16,-1,17
ἕξ,16,-1,20
καλλίθριξ,16,-1,4
εἴκω2,16,-1,38
γαμβρός,16,-1,10
ἡβάω,16,-1,23
θαρσαλέος,16,-1,8
γόνος,16,-1,10
θοῦρις,16,-1,15
σιδήρεος,16,-1,7
μόρος,16,-1,23
ὑλήεις,16,-1,40
ἀναίνομαι,16,30,33
θερμός,16,38,37
ἄμαξα,16,-1,4
χλωρός,16,-1,32
ἔσθω,16,-1,40
ἀετός,16,-1,12
μάρπτω,16,-1,16
κλισμός,16,-1,52
ἰχθυόεις,16,1,18
πεύθομαι,16,-1,33
κεδνός,16,-1,14
ἀέκητι,16,-1,38
δίκαιος,16,28,8
δίκη,16,-1,40
ὀρθός,16,-1,23
βασίλεια,16,-1,14
ἐντανύω,16,17,42
Λητώ,15,-1,6
ὀλέκω,15,-1,17
θαμέες,15,-1,41
ἀτιμάω,15,-1,29
σκιόεις,15,-1,12
ἐξερέω,15,-1,9
σημαίνω,15,1,25
δακρύω,15,-1,52
τερπικέραυνος,15,-1,22
δαίς2,15,26,45
ῥηγμίν,15,-1,35
σφάζω,15,40,20
πατέομαι,15,-1,22
ἐλελίζω,15,-1,19
ἕδος,15,-1,34
ἐναντίον,15,27,1
ἀμφικύπελλος,15,45,32
μειδάω,15,31,5
χρυσόθρονος,15,23,35
προσδέχομαι,15,-1,39
λέγω3,15,-1,9
ἱππόβοτος,15,-1,40
μείς,15,-1,46
ἠγερέθομαι,15,-1,33
ὅθεν,15,-1,46
μέδομαι,15,-1,40
τελαμών,15,-1,7
κικλήσκω,15,-1,27
Λακεδαίμων,15,-1,34
Θρᾷξ,15,-1,1
Κρής,15,22,2
Μέδων,15,-1,2
νέατος,15,-1,34
ὄμβρος,15,-1,12
τρόμος,15,15,15
ἀναχωρέω,15,-1,17
ἐίσκω,15,-1,20
ἐκγίγνομαι,15,-1,10
ἄφρων,15,8,29
ἐφοράω,15,-1,29
ἀποφθίνω,15,-1,39
λόφος,15,-1,7
τρυφάλεια,15,-1,7
τινάσσω,15,-1,7
χορός,15,-1,47
ἐκεῖθι,15,-1,23
ἁρπάζω,15,-1,12
τέθηπα,15,-1,37
ἀγχίμολος,15,-1,51
σπάω,15,-1,3
δινεύω,15,-1,37
ἀκωκή,15,-1,3
ὑπεκφεύγω,15,-1,23
πύκα,15,13,41
ποιητός,15,13,41
πολεμιστής,15,-1,8
ῥίς,15,-1,32
ἀναχάζω,15,-1,21
Νεστορίδης,15,-1,2
ἥμισυς,15,-1,31
μύρω,15,-1,19
μηχανάομαι,15,9,38
τετίημαι,15,-1,16
ἄμυδις,15,-1,27
μενοεικής,15,-1,32
λευγαλέος,15,-1,37
ἐσχατιά,15,-1,40
ῥῆγος,15,29,52
κέρδος,15,-1,14
ἄλφιτον,15,40,32
βουκόλος,15,-1,20
ἱκέτης,15,-1,45
ἀλάλημαι,15,-1,38
ἀπήνη,15,18,4
ὄλβιος,15,-1,10
ἐσθής,15,-1,28
Τειρεσίης,15,7,27
οὐλόμενος,14,-1,23
τηλόθι,14,24,46
ἀργυρότοξος,14,15,24
ναός,14,-1,34
μετάφημι,14,31,5
μαντεύομαι,14,-1,9
ἱερόν,14,-1,34
ἐξαῦτις,14,-1,47
ὄμμα,14,-1,14
Πύλιος,14,-1,34
ἐπιχθόνιος,14,-1,14
θύω2,14,-1,12
ἀπείρων2,14,-1,16
ἐγγυαλίζω,14,-1,24
πολλάκις,14,-1,9
μίνυνθα,14,-1,39
ὀιζυρός,14,-1,47
ὀβελός,14,40,22
δέω2,14,-1,45
ἀνάγω,14,-1,40
σφός,14,-1,38
βοῶπις,14,19,6
ἐτήτυμος,14,-1,9
ἄαπτος,14,-1,15
στυφελίζω,14,-1,43
Λῆμνος,14,-1,34
ἄσβεστος,14,-1,29
ἀρτύνω,14,-1,23
ὑπερμενής,14,-1,29
Νότος,14,-1,12
πλέως,14,-1,20
ἄελλα,14,-1,12
ἐναίσιμος,14,-1,8
λειμών,14,-1,30
μεταπρέπω,14,-1,5
λάθρῃ,14,-1,10
Ὀιλεύς,14,-1,2
δυοκαίδεκα,14,17,20
ἰσόθεος,14,-1,7
αἰπεινός,14,-1,34
Αἰτωλός,14,-1,2
Θόας,14,-1,2
σκοπός,14,-1,30
οἴγω,14,-1,41
λώβη,14,-1,38
δένδρεον,14,-1,31
θρίξ,14,-1,7
χαμάδις,14,-1,19
ἀναπάλλω,14,-1,11
ὠτειλή,14,-1,44
ὑπερηνορέων,14,-1,8
λαῖλαψ,14,-1,12
ἐντίθημι,14,-1,52
αἴνυμαι,14,-1,25
δολιχός,14,-1,3
ὄνομαι,14,-1,33
ἐλαφρός,14,-1,12
κτέαρ,14,-1,26
ποῦ,14,-1,2
ἄω3,14,-1,22
αἰτέω,14,-1,14
εἶδαρ,14,-1,28
δίω,14,-1,38
μέλινος,14,-1,3
ἐπιμαίομαι,14,-1,3
ἄξιος,14,-1,28
δέρμα,14,-1,7
δέμω,14,-1,41
ἐπισταμένως,14,40,22
μέτρον,14,-1,31
δημός,14,-1,22
πρόκειμαι,14,14,16
κάνεον,14,-1,32
ἕλιξ,14,40,20
ἐπέχω,14,-1,32
ἀυτμή,14,-1,22
ἀναπνέω,14,-1,37
ἆ,14,-1,23
παιπαλόεις,14,-1,30
κρήδεμνον,14,-1,41
ἕδνον,14,-1,10
πόθεν,14,24,46
νόστιμος,14,-1,27
Εὐπείθης,14,-1,5
χρῆμα,14,-1,38
σχεδία,14,-1,18
Εὐρύλοχος,14,-1,2
ἀπερείσιος,13,15,28
κραίνω,13,-1,29
φαρέτρα,13,17,42
συντίθημι,13,6,11
κρατέω,13,-1,29
δέρκομαι,13,-1,47
λεύσσω,13,-1,30
καρπός,13,-1,31
ἐναρίζω,13,-1,41
κόμη,13,-1,28
ἔνδοθι,13,-1,15
λιάζομαι,13,-1,43
διαπέρθω,13,39,13
ὑποδείδω,13,-1,15
πάρημαι,13,-1,38
πρυμνήσιος,13,-1,35
ποντόπορος,13,-1,24
φθινύθω,13,-1,38
ἄτερ,13,-1,36
καθάπτω,13,-1,8
στοναχή,13,-1,47
στεναχίζω,13,-1,15
ὅμαδος,13,-1,12
τοσόσδε,13,-1,38
ὠκύπους,13,-1,4
θύνω,13,-1,25
Ἄσιος,13,41,2
ὀνομαίνω,13,-1,25
εἰσαναβαίνω,13,-1,54
ἠνεμόεις,13,-1,30
τέμενος,13,-1,20
εὐνάω,13,-1,35
ἄργυρος,13,-1,7
δινήεις,13,-1,30
σιγή,13,-1,9
ἀφίστημι,13,-1,50
ἀτειρής,13,-1,3
ὁπότερος,13,-1,36
ἀνέρομαι,13,-1,9
σείω,13,-1,52
δειρή,13,-1,19
ὀχεύς,13,-1,41
ἀστήρ,13,43,7
δίζημαι,13,-1,34
θαρσύνω,13,-1,8
σκοπιά,13,-1,30
ταλασίφρων,13,-1,44
ὀμφαλόεις,13,-1,7
δοῦπος,13,-1,12
Ἀγήνωρ,13,10,2
ἰθύω,13,-1,19
θυμαλγής,13,-1,38
ἐπιτρέχω,13,-1,19
βροτολοιγός,13,-1,1
κραταιός,13,-1,29
ἐξερύω,13,-1,3
ὑψερεφής,13,-1,10
ἄντυξ,13,-1,7
εἴδωλον,13,-1,27
μέμονα,13,-1,46
ἴφιος,13,-1,20
Τελαμώνιος,13,-1,5
ἐξέρομαι,13,-1,9
ἐπικεύθω,13,-1,9
ἀριστεύω,13,17,50
ἀφαμαρτάνω,13,-1,3
ἀντιάζω,13,-1,45
σέλας,13,-1,22
ἔρρω,13,-1,40
κάρτος,13,-1,45
βρίθω,13,-1,31
Κεβριόνης,13,-1,2
ξύλον,13,-1,22
στορέννυμι,13,29,52
ἰαύω,13,-1,20
ποθεν,13,0,46
Περσεφόνεια,13,7,27
σανίς,13,13,41
ἄλαλκε,13,-1,23
κῶας,13,29,52
Πόλυβος,13,-1,2
ἄλλυδις,13,-1,17
νομεύς,13,-1,20
Εὐρυνόμη,13,-1,52
δέμνιον,13,-1,52
Ἀρήτη,13,-1,6
ἐννῆμαρ,12,-1,46
εὐχωλή,12,-1,24
ἐπέοικε,12,-1,45
ἐξαλαπάζω,12,39,13
ἀναιδής,12,-1,53
ποθή,12,-1,43
γλῶσσα,12,-1,32
τρίτατος,12,-1,34
ἐπιείκελος,12,-1,34
Ἠετίων,12,-1,34
πρύμνα,12,-1,1
ἐπαυρέω,12,-1,21
ὠκύπορος,12,-1,1
ἀποπαύω,12,-1,1
ἐκτέμνω,12,33,22
πανημέριος,12,-1,40
ἀπεῖπον,12,25,5
λαμπρός,12,-1,7
νήδυμος,12,-1,16
εὐρυάγυια,12,-1,13
ἠμαθόεις,12,-1,34
ἠιών,12,-1,18
σπουδή,12,-1,18
ἕδρα,12,-1,22
ἐπακούω,12,-1,29
κοιρανέω,12,-1,40
ἐλεεινός,12,-1,27
Παναχαιοί,12,-1,50
αἰγίς,12,-1,30
ἀγέλη,12,-1,20
ζείδωρος,12,-1,34
ἀρνειός,12,-1,20
κοσμέω,12,-1,2
πυκάζω,12,-1,4
Ἀγχίσης,12,-1,10
βῆσσα,12,-1,20
ἀλλοδαπός,12,-1,46
Σκαιαί,12,-1,41
ξενίζω,12,-1,46
ἀσπαίρω,12,-1,19
ζεύς,12,-1,1
Δαρδανίδης,12,-1,2
ἄψορρος,12,-1,41
Ἀΐδης,12,7,27
ἁπαλός,12,-1,3
ἀστερόεις,12,-1,30
ναύτης,12,-1,35
τέκτων,12,-1,41
μέτωπον,12,-1,7
αἰών,12,-1,47
χωρέω,12,-1,17
πεδάω,12,-1,19
θάρσος,12,-1,15
Σκάμανδρος,12,-1,30
ἐκβάλλω,12,-1,16
ἰοχέαιρα,12,-1,6
ἐμμεμαώς,12,-1,4
Ἀίδης,12,-1,27
φέβομαι,12,-1,41
ῥινόν,12,-1,7
δάμνημι,12,-1,12
ἄημι,12,-1,12
ἐμπνέω,12,-1,37
ὕπατος,12,-1,29
ἀμβροσίη,12,-1,44
κάπρος,12,-1,20
ἰότης,12,-1,24
Μελάνθιος,12,-1,20
ἔναρα,12,-1,1
ἀπολήγω,12,-1,15
κατέδω,12,11,38
αἰσχύνω,12,-1,38
εἰσάγω,12,-1,52
φυτεύω,12,-1,31
ἐφάλλομαι,12,-1,2
τελέθω,12,-1,8
ἐναντίβιος,12,27,1
Τελαμωνιάδης,12,-1,2
κρύπτω,12,-1,13
ὀπυίω,12,-1,10
νευρά,12,17,42
ἐδωδή,12,-1,32
ληίς,12,-1,13
Ἐρινύς,12,-1,43
βιάω,12,-1,31
ἀποίχομαι,12,-1,5
ζόφος,12,-1,27
ῥάβδος,12,-1,3
πομπός,12,-1,26
τίη,12,30,9
διέκ,12,-1,52
κυανόπρῳρος,12,-1,3
ἐλαία,12,32,31
ἠῶθεν,12,-1,46
εἰκοστός,12,-1,46
κίων,12,13,41
μαῖα,12,-1,9
ἄντρον,12,-1,31
Σκύλλα,12,-1,15
ἀλήτης,12,2,9
Ἀμφίνομος,12,-1,2
Ἶρος,12,-1,7
πάτρη,11,-1,46
ἀποδίδωμι,11,-1,24
κολεόν,11,-1,3
ναί,11,-1,9
ἠγάθεος,11,41,34
κράτιστος,11,-1,29
ὄνειδος,11,-1,1
ἐρωέω,11,-1,38
ἀπηνής,11,-1,43
βένθος,11,-1,6
δωδέκατος,11,-1,46
εὔδμητος,11,-1,41
ποτός,11,45,32
Ἑκάεργος,11,-1,6
Οὐρανίωνες,11,-1,38
ἔνειμι,11,-1,39
πρόπας,11,23,35
ἀμφιγύεις,11,-1,20
πραπίδες,11,-1,52
πολυκλήις,11,-1,35
ψεῦδος,11,-1,9
ἄνθος,11,-1,31
ὑπένερθε,11,-1,52
Ἰθακήσιος,11,-1,8
βασιλεύω,11,-1,34
ἠχή,11,-1,12
στείχω,11,-1,13
ἀλαπάζω,11,-1,13
ἀφραδία,11,-1,38
ἀδινός,11,-1,47
αἰπόλος,11,-1,20
ἀμφιέπω,11,-1,22
ἀγακλειτός,11,-1,2
τραχύς,11,-1,40
λίμνη,11,-1,34
νόθος,11,-1,2
Μαχάων,11,-1,49
Ἑλλήσποντος,11,-1,18
ἐρωή,11,-1,3
ἐρικυδής,11,-1,22
ἀρχή,11,-1,8
γῆ,11,-1,38
πῶυ,11,33,20
ποινή,11,-1,39
Πάρις,11,-1,2
οἶτος,11,-1,15
ἀσπιστής,11,-1,2
ταχύπωλος,11,-1,8
μῆλον2,11,32,20
ὁμοίιος,11,-1,15
ἐφοπλίζω,11,-1,44
ἀντάω,11,-1,9
ἱππηλάτης,11,-1,46
ἀτασθαλία,11,9,38
ἑτέρωσε,11,-1,19
κρόταφος,11,-1,7
πελεμίζω,11,-1,21
κατάγω,11,-1,27
ὀξυόεις,11,-1,3
διδάσκω,11,-1,8
ἐξαπίνης,11,-1,12
κτῆσις,11,-1,10
ἀτιτάλλω,11,-1,10
ὀδών,11,-1,48
μαστίζω,11,-1,4
βοείη,11,-1,52
καρπός2,11,-1,31
ἐρίγδουπος,11,-1,13
ἐπαμύνω,11,-1,22
Ὀρέστης,11,-1,2
ἐπόρνυμι,11,-1,11
ζώννυμι,11,-1,4
κυκάω,11,-1,32
ἀτύζω,11,-1,4
ἐγγύθι,11,-1,41
μητιάω,11,-1,25
πειρητίζω,11,-1,42
ἄρσην,11,-1,20
πυρός,11,-1,22
ἔνερθε,11,-1,52
στονόεις,11,-1,42
μεταστρέφω,11,-1,17
δύναμις,11,-1,38
ἀλέγω,11,-1,9
τάπης,11,-1,52
ἐντύνω,11,-1,32
ἀργυρόπεζα,11,-1,6
ἀργιόδους,11,-1,20
Αἶσα,11,-1,23
ἀκαχμένος,11,35,3
ἄπειμι2,11,26,39
ἐσχάρα,11,-1,52
κτύπος,11,-1,38
ἀσάμινθος,11,38,44
σπέρχω,11,-1,25
γναμπτός,11,-1,37
χρέος,11,-1,53
δοάσσατο,11,-1,5
θρῆνυς,11,-1,7
ἐκεῖθεν,11,-1,46
ἐπιχέω,11,44,7
ἴκρια,11,-1,3
πάτροκλος,11,-1,1
ἐμπάζομαι,11,16,43
κεάζω,11,-1,22
γυμνός,11,-1,21
κωκύω,11,-1,14
δρόμος,11,15,4
τέως,11,-1,46
βρῶσις,11,14,16
δειπνέω,11,-1,16
πόλινδε,11,-1,46
Ναυσικάα,11,-1,6
ῥάκος,11,-1,37
τέλλω,10,-1,16
ἀμφιβαίνω,10,-1,44
ἔλδωρ,10,-1,29
ὁμηγερής,10,-1,5
φυή,10,-1,14
Βρισηίς,10,-1,13
στυγέω,10,-1,43
μέροψ,10,-1,20
ὑπείκω,10,-1,8
Θήβη,10,-1,34
χθιζός,10,-1,18
στέλλω,10,-1,35
δέρω,10,40,22
μιστύλλω,10,40,22
σκίδνημι,10,-1,12
πωλέομαι,10,-1,21
ἐφετμή,10,-1,29
διατμήγω,10,-1,30
ἐπιεικής,10,-1,29
κύπελλον,10,45,32
ἐφάπτω,10,-1,23
μελίφρων,10,45,32
μέγεθος,10,-1,14
νοσφίζομαι,10,-1,43
ἐξάρχω,10,-1,47
ἁδινός,10,-1,47
αἰσχρός,10,-1,5
προφέρω,10,-1,1
ἠβαιός,10,-1,23
κεδάννυμι,10,-1,13
ὑπερέχω,10,-1,8
ἀίδηλος,10,-1,53
πετεινός,10,-1,12
διαρραίω,10,-1,13
ἄρρηκτος,10,-1,41
εὐρύχορος,10,-1,34
ἀμφινέμομαι,10,41,34
τεσσαράκοντα,10,-1,20
Σθένελος,10,-1,2
Ἦλις,10,-1,34
Τληπόλεμος,10,-1,2
γηράσκω,10,-1,46
Ἑλλάς,10,-1,34
δυσηχής,10,-1,23
μενεπτόλεμος,10,-1,2
ποδήνεμος,10,-1,11
ἄκριτος,10,-1,41
Ἀκάμας,10,-1,2
καμπύλος,10,-1,42
τέρην,10,-1,22
ὁμηλικία,10,-1,14
διέρχομαι,10,3,39
ἐγκέφαλος,10,-1,19
εὔτυκτος,10,43,7
πολυδαίδαλος,10,-1,7
ἀσκέω,10,-1,7
ἱμερόεις,10,-1,47
Τρῳάς,10,-1,13
ἀπεχθάνομαι,10,-1,43
αἰνέω,10,-1,5
δάπεδον,10,-1,32
χανδάνω,10,6,13
ἀνακλίνω,10,-1,19
νευρή,10,17,42
ἐλέφας,10,-1,7
νεβρός,10,-1,20
ἀρέσκω,10,-1,28
κολλητός,10,-1,41
ὁμός,10,-1,23
κασιγνήτη,10,-1,6
ῥινός,10,-1,27
ἰαχή,10,-1,12
λύκος,10,-1,20
ἀραβέω,10,44,19
ἀκάματος,10,21,22
θέσφατος,10,-1,46
ἀχλύς,10,-1,19
ἐλύω,10,-1,28
εἰλύω,10,-1,31
φείδομαι,10,-1,21
ἔθω,10,-1,15
Λαομέδων,10,-1,2
ῥέα,10,-1,36
καταθνητός,10,9,14
τηλοῦ,10,-1,34
ἀγυιά,10,-1,34
Ἕλενος,10,-1,2
ὁδός,10,-1,41
ἀρκέω,10,-1,3
Ἱππόλοχος,10,37,2
σήμερον,10,-1,15
καταπαύω,10,-1,1
πρόσωπον,10,-1,7
ἔκτοσθε,10,-1,41
ἕωθεν,10,-1,35
ὑποτίθημι,10,6,28
ἀμήχανος,10,-1,53
πήληξ,10,-1,19
τολμάω,10,-1,9
καταδέω,10,-1,52
αὔριον,10,-1,29
Θρασυμήδης,10,-1,2
ἀλοιφή,10,-1,20
ἐρυθρός,10,-1,32
ἐχθαίρω,10,-1,8
γουνόομαι,10,16,43
ἀπαγγέλλω,10,8,11
ἐξερεείνω,10,-1,9
λαιψηρός,10,-1,12
εἰσβαίνω,10,-1,54
ἀλείφω,10,38,44
κασσίτερος,10,-1,7
πτερόν,10,-1,19
ποτής,10,14,16
χεῖλος,10,-1,7
ἔπαλξις,10,-1,41
καθαίρω,10,-1,44
ἀρνέομαι,10,-1,43
φιλοπόλεμος,10,-1,4
οὖλος2,10,38,52
ὄλβος,10,-1,10
ὑπέρβιος,10,-1,38
πολύφρων,10,-1,29
δίχα,10,-1,13
λοχάω,10,-1,40
ἐρίδουπος,10,-1,41
εἰσαφικνέομαι,10,-1,49
λέκτρον,10,-1,52
κοῖτος,10,-1,16
Πεισίστρατος,10,-1,2
Αἴγυπτος,10,-1,46
δέσποινα,10,-1,28
αἰτίζω,10,-1,37
ἤπειρόνδε,10,-1,18
ἑκηβόλος,9,15,24
ἱερεύς,9,-1,24
ἐρεθίζω,9,-1,5
ἀναφαίνω,9,-1,25
ὄσσομαι,9,-1,33
ἐπιέννυμι,9,-1,15
Πειρίθοος,9,36,2
ἀντίβιος,9,27,8
ἐπιπλέω,9,-1,24
Ταλθύβιος,9,-1,2
ἤ2,9,30,9
ὠκύμορος,9,-1,7
σπλάγχνον,9,40,22
μολπή,9,-1,47
ὑψοῦ,9,-1,19
κυδιάνειρα,9,-1,1
ἧχι,9,-1,30
ἄφθιτος,9,-1,7
προσβαίνω,9,-1,54
στιχάομαι,9,-1,4
μάψ,9,-1,38
ὀπαδέω,9,34,8
ἐφευρίσκω,9,-1,18
ἀτρέμας,9,-1,21
πληγή,9,-1,4
ἐπιφράζω,9,-1,43
νεμεσίζομαι,9,27,43
δράκων,9,-1,20
συνάγω,9,-1,11
σκόπελος,9,-1,31
ὀδάξ,9,-1,19
ἀγήραος,9,-1,14
ἑκατόν,9,-1,34
χήν,9,-1,12
πλατύς,9,-1,20
ἄλσος,9,-1,34
προγενής,9,-1,10
Εὐρύαλος,9,-1,2
Ἐνυάλιος,9,-1,2
Εὔμηλος,9,-1,34
Κίκονες,9,-1,35
λάινος,9,-1,41
τέχνη,9,-1,29
ἦκα,9,-1,19
νέμεσις,9,-1,38
ἐκχέω,9,-1,42
ἐτώσιος,9,-1,28
ἱπποδάσεια,9,42,7
ἑανός,9,-1,7
μαρμαίρω,9,-1,41
ὑψόροφος,9,-1,46
φθονέω,9,-1,13
πάμπρωτος,9,-1,35
ἐκβαίνω,9,-1,54
κορώνη,9,-1,41
πάσσω,9,-1,22
κεράννυμι,9,45,32
τέτμον,9,-1,26
πτώσσω,9,-1,37
ἀνέρχομαι,9,3,39
ἄκρα,9,-1,13
ἄμοτον,9,-1,1
σύνειμι2,9,-1,39
ὁρμή,9,-1,39
ἐκφαίνω,9,-1,25
ἠίθεος,9,-1,2
τένων,9,-1,3
δαίω2,9,-1,22
ψυχρός,9,-1,12
πλήθω,9,-1,30
ἰσχανάω,9,-1,48
εἶθαρ,9,-1,3
μαψίδιος,9,-1,38
ἀκέομαι,9,-1,49
ἐπιδευής,9,-1,38
ἕλωρ,9,-1,40
ὑπομένω,9,-1,15
τρέχω,9,-1,19
χαλκοκορυστής,9,-1,1
ʼἀθήνη,9,-1,6
κύκλος,9,-1,7
Θῆβαι,9,-1,34
βραχεῖν,9,-1,19
τρώς,9,-1,48
ὀδύσσομαι,9,-1,33
τηλεθάω,9,32,31
ξεινήιον,9,-1,45
ἔτης,9,-1,10
ἀληθής,9,-1,9
εἰλίπους,9,40,20
ἀγακλυτός,9,-1,51
ἀριπρεπής,9,-1,8
βροτόεις,9,-1,1
χώρα,9,-1,18
ἐφανδάνω,9,6,5
τρομέω,9,-1,35
αὐτοσχεδόν,9,35,3
διηνεκής,9,-1,9
σκεδάννυμι,9,-1,13
πυρκαιά,9,-1,22
σκόλοψ,9,-1,41
ἠερόεις,9,-1,30
κομέω,9,-1,46
προφαίνω,9,-1,5
καθαρός,9,-1,44
νηέω,9,-1,22
σίαλος,9,-1,20
ἐφύπερθε,9,38,52
κηρόθι,9,-1,5
ἐχέφρων,9,8,14
Φθία,9,-1,34
Αἰγύπτιος,9,-1,34
κόνις,9,-1,44
δήω,9,-1,45
στερεός,9,-1,36
ἔξω,9,-1,18
ἄγραυλος,9,-1,20
ἀποτρέπω,9,-1,5
περιχέω,9,-1,28
μισθός,9,-1,31
λίπα,9,38,44
ῥώομαι,9,-1,26
Πείσανδρος,9,-1,2
θάμνος,9,-1,31
ἀριδείκετος,9,-1,51
ἐξοπίσω,9,-1,21
ἧπαρ,9,-1,3
ἄλεισον,9,-1,32
Ἀστεροπαῖος,9,-1,2
ἔραζε,9,-1,19
ἀράσσω,9,-1,3
πάντοθεν,9,-1,12
ὕψι,9,-1,3
ἀμφίγυος,9,35,3
νηπύτιος,9,34,8
κατακλάω,9,-1,26
ἐπελαύνω,9,-1,21
θαμά,9,-1,14
μινύθω,9,-1,46
εἴβω,9,-1,37
χηλός,9,-1,28
ῥαίω,9,-1,19
ἔργνυμι,9,-1,37
ζῶ,9,-1,35
εὐσταθής,9,-1,41
προβλώσκω,9,-1,48
ἐργάζομαι,9,-1,43
τιμήεις,9,-1,28
κυβερνήτης,9,-1,25
λαῖτμα,9,-1,18
θάπτω,9,-1,23
πέλεια,9,-1,12
ἑσπέριος,9,-1,40
προέχω,9,-1,41
τέρμα,9,-1,14
τάφος,9,-1,45
ἀμφιφορεύς,9,-1,32
ἀλήθεια,9,30,9
δόμονδε,9,-1,6
δαιτυμών,9,-1,32
Δολίος,9,-1,6
νήχω,9,-1,18
Δημόδοκος,9,-1,47
Χάρυβδις,9,-1,21
Θεσπρωτοί,9,-1,46
ἅζομαι,8,-1,43
πολύφλοισβος,8,-1,12
κλαγγή,8,-1,12
σύμπας,8,-1,13
ἀπολύω,8,15,28
παρέρχομαι,8,3,39
ἐρέτης,8,-1,24
πλοῦτος,8,-1,34
μηνίω,8,-1,1
μείρομαι,8,30,33
σκηπτοῦχος,8,-1,8
μάρτυρος,8,-1,14
μινυνθάδιος,8,-1,10
καταρρέζω,8,31,6
διαπράσσω,8,-1,13
ὀνείδειος,8,-1,5
δικάζω,8,-1,1
ἐριδαίνω,8,-1,38
γέλως,8,-1,29
ἥλιος,8,-1,35
οὖλος3,8,-1,12
κηρύσσω,8,40,4
ἀλαλητός,8,-1,4
δειδίσσομαι,8,-1,8
κοίρανος,8,-1,53
ἀπονόσφι,8,-1,17
κερτομέω,8,-1,9
ἄνεω,8,-1,43
πολεμήιος,8,-1,47
ἱδρόω,8,-1,52
μέλαθρον,8,-1,41
νομός,8,-1,20
Πηνέλεως,8,-1,2
ποιήεις,8,41,34
Ἀθῆναι,8,-1,34
Μυκήνη,8,-1,34
νῶροψ,8,-1,7
ἄντομαι,8,-1,41
στεῦμαι,8,-1,1
ἐμβαίνω,8,-1,54
δυώδεκα,8,17,20
Οἰνεύς,8,-1,34
ἀγέρωχος,8,-1,2
Ἄντιφος,8,-1,2
λωτός,8,-1,49
ἱμάσσω,8,-1,4
Πάνδαρος,8,-1,2
ἀγρότερος,8,-1,20
κεραίζω,8,-1,13
ἐνοπή,8,-1,12
ἀθέσφατος,8,-1,31
σῶμα,8,-1,22
πρόμος,8,15,4
χάρμα,8,-1,40
κάλη,8,-1,7
πολυβότειρα,8,-1,19
γνωτός,8,-1,23
τηλύγετος,8,-1,33
πύξ,8,-1,39
αἶσχος,8,-1,38
ἀσκός,8,-1,32
κνημίς,8,42,7
δολοφρονέων,8,-1,5
νεμεσητός,8,27,43
ἀργής,8,-1,22
μεγαίρω,8,-1,11
πρέσβυς,8,-1,10
φοῖνιξ,8,-1,7
ἄγαλμα,8,-1,22
ἀναπίμπλημι,8,-1,23
χάσκω,8,-1,19
ἀμφιπένομαι,8,-1,49
φρίσσω,8,-1,3
Καδμεῖος,8,-1,43
ψεύδω,8,2,9
κάτειμι,8,-1,39
Σιμόεις,8,-1,30
αἴγειρος,8,-1,31
λεῖος,8,-1,41
ὀμφαλός,8,-1,19
παμφαίνω,8,-1,25
