lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label
ποθή,12,lsj,"longing, desire for; from longing after; want",13,"desire, want, wish, need",9,"desire, noble, strength, easy",19,"desire, wish, love, want",33,"wish, need, want, desire",65,"wish, need, want, desire"
γλῶσσα,12,lsj,tongue; larynx; of talking; frankness of speech,41,"voice, sound, speech, hear",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
τρίτατος,12,lsj,in the third place,59,"hither, wherefore, place, way",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
ἐπιείκελος,12,lsj,like,69,"like, equal, age, resembling",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",68,"like, resembling, opportune, fond war"
πρύμνα,12,lsj,"stern, poop; retire, draw back; the Acropolis; the vessel",-1,(outlier),1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",8,"honour, wonder, reverence, gift"
ἐπαυρέω,12,lsj,"partake of, share; enjoys; share; have had enjoyment of",-1,(outlier),9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
ἀποπαύω,12,lsj,"stop; hinder from, make to cease from; hinder; leave off, cease from",85,"stay, remain, restrain, stop",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",62,"leave, retire, away, ward"
ἐκτέμνω,12,lsj,cut out; cut; from; out,83,"strip, cut, loose, belch",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",80,"wound, cut, strip, blood"
πανημέριος,12,lsj,all day long; in a whole dayʼs sail; of the whole day,8,"day, light, morning, early",5,"day, funeral, black, cloud",12,"funeral, long, day, time",19,"long, day, time, morning",39,"day, morning, dawn, early"
ἀπεῖπον,12,lsj,"speak out, tell out, declare; to give; full notice; to deliver",68,"herald, report, message, tidings",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
λαμπρός,12,lsj,"bright, radiant; bright; toga candida; clear, limpid",7,"bright, light, kindle, star",5,"day, funeral, black, cloud",11,"black, dark, bright, shine",18,"black, dark, bright, shine",37,"black, dark, bright, light"
νήδυμος,12,lsj,"sweet, delightful",112,"glad, welcome, lovely, beautiful",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
εὐρυάγυια,12,lsj,with wide streets; public,126,"dwell, inhabit, people, situated",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",44,"ask, inquire, pay, prize",87,"pay, debt, receive, price"
ἠμαθόεις,12,lsj,sandy,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
ἠιών,12,lsj (relaxed match),"shore, beach; banks; lower part of the face",133,"banks, shore, dyke, headland",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",17,"peak, mountain, hill, headland"
σπουδή,12,lsj,"haste, speed; haste; I am hastening; in haste",99,"haste, eager, furiously, rage",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",36,"swift, little, haste, eager",70,"swift, haste, eager, quick"
ἕδρα,12,lsj,"sitting-place; seat, chair, stool, bench; seat of honour; throne",127,"sit, seat, chair, place",2,"chamber, sleep, sit, bed",5,"sleep, sit, seat, bed",6,"sleep, sit, seat, bed",14,"sit, seat, chair, throne"
ἐπακούω,12,lsj,hear; wilt; be answered; overhear,41,"voice, sound, speech, hear",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
κοιρανέω,12,lsj,"to be lord; master, rule, command; to be lord of; lead, arrange",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",12,"lord, king, master, leader"
ἐλεεινός,12,lsj,"finding pity, pitied; moving pity, piteous; piteous; having received mercy",79,"grieving, distressed, wretched, pity",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",78,"dishonour, pity, disgrace, reproach"
Παναχαιοί,12,lsj,all the Achaeans; all Achaea,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
αἰγίς,12,lsj,"goatskin; aegis; cuirass; rushing storm, hurricane",18,"wind, cloud, mist, stormy",6,"wind, water, pour, sea",14,"wind, sea, stream, water",23,"wind, storm, breeze, wintry",46,"wind, storm, wintry, hurricane"
ἀγέλη,12,lsj,herd; any herd; company; shoal,135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
ζείδωρος,12,lsj,zea-giving; life-giving; mamma,-1,(outlier),1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
ἀρνειός,12,lsj,"ram, wether; Aries",-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
κοσμέω,12,lsj,"order, arrange; set; in array, marshal; marshalled",14,"ready, make, order, prepare",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",9,"bind, ready, fast, make",23,"ready, bind, fast, make"
πυκάζω,12,lsj,cover closely; protection; surround; so as to protect,115,"hide, cover, shield, conceal",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
βῆσσα,12,lsj,"wooded combe, glen; glens; drinkingcup",109,"tree, wood, garden, fir",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",17,"peak, mountain, hill, headland"
ἀλλοδαπός,12,lsj,"aliud; long-inquus) belonging to another people; land, foreign; in foreign parts",126,"dwell, inhabit, people, situated",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
ξενίζω,12,lsj,receive; entertain as a guest; to present with; with,34,"guest, banquet, meal, feast",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",9,"guest, banquet, dinner, meal"
ἀσπαίρω,12,lsj,"pant, gasp, struggle; made a struggle, resisted",27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
ἄψορρος,12,lsj,"going back, backwards; backward, back again",43,"return, backwards, rear, home",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",52,"return, backwards, anew, come home"
ἁπαλός,12,lsj,"soft to the touch, tender; young; delicate; raw",-1,(outlier),9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
ἀστερόεις,12,lsj,"like a star, sparkling; a half-moon",7,"bright, light, kindle, star",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",42,"star, olympus, heaven, middle"
ναύτης,12,lsj,"seaman, sailor; by sea; passenger by sea; mates",131,"sail, ship, sea, float",6,"wind, water, pour, sea",14,"wind, sea, stream, water",24,"sea, stream, wine, water",47,"sea, sail, strait, ship"
