lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label
πᾶς,1080,lsj,all; the whole; every; all the,57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
ἀνήρ,1038,lsj,"nar; ner-, nṛ; man; woman",101,"lord, queen, master, ruler",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",40,"funeral, dead, mortal, alive"
ναῦς,995,lsj,ship; the ships; ships; naús,131,"sail, ship, sea, float",6,"wind, water, pour, sea",14,"wind, sea, stream, water",24,"sea, stream, wine, water",47,"sea, sail, strait, ship"
πολύς,869,lsj,"many; often; frequent; much, mighty",57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
φημί,810,lsj,"say, affirm, assert; shall we say of; speak; think, deem, suppose",76,"oath, swear, affirm, think deem",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",45,"pray, oath, herald, command",88,"pray, oath, herald, command"
ἔρχομαι,770,lsj,"ibo; start, set out; was setting out; was",122,"come, ibo, pass, approach",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",58,"ibo, sink, fall, come"
θεός,767,lsj,"God, the Deity; against his will; bless you! good heavens! for heavenʼs sake!; weather",100,"divine, mortal, god, zeus",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
θυμός,755,lsj,"soul, spirit; the principle of life, feeling and thought; of strong feeling and passion; breath, life",78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
ἔχω,750,lsj,check; seĝh; sáhate; sigis,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
νῦν,742,lsj,now; present moment; present time; of our day,8,"day, light, morning, early",5,"day, funeral, black, cloud",12,"funeral, long, day, time",19,"long, day, time, morning",39,"day, morning, dawn, early"
μέγας,728,lsj,"big; full-grown; elder; vast, high",5,"high, lofty, height, feet",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",74,"high, courage, better, stout"
Ἀχαιός,714,lsj,Achaean; the Achaeans; Greeks; Achaia,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
Ὀδυσσεύς,712,lsj,Odysseus; games in honour of Odysseus; temple of Odysseus,143,"troy, athens, trojan, greece",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
Ζεύς,696,lsj,dyaús; divás; diví; dyávi,46,"ti, quarterly, shear lay, bit",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
φίλος,676,lsj,"beloved, dear; dear; friend; friends, kith and kin",78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
χείρ,635,lsj,"the hand; closed; open, flat; a single hand",60,"hand, left, right, sides",3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",19,"straight, right, hand, opposite"
Τρώς,633,lsj,Tros; Trojans; Trojan men,143,"troy, athens, trojan, greece",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
υἱός,613,lsj,Vasen mit Meister-signaturen; pitṛṣu; son; a son,125,"son, child, infant, father",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
εἶπον,560,lsj,"said; avocam; vac; speak, say",-1,(outlier),11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",89,"care, rejoice, heed, attempt"
εἶμι,530,lsj,"ibo; shall go, shall come; come; go, depart",122,"come, ibo, pass, approach",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",58,"ibo, sink, fall, come"
μάλα,530,lsj,"very, exceedingly; very; every one; together",57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
ἔνθα,501,lsj,there; thither; hither; in one place.. in another,59,"hither, wherefore, place, way",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
ἔπειτα,496,lsj,"thereupon, thereafter, then; thereafter, afterwards; hereafter; just then, at the time",67,"forthwith, soon, longer, second",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
δίδωμι,483,lsj,"give freely; to be ready to give, offer; things offered; grant, assign",33,"gift, serve, receive, admit",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",44,"ask, inquire, pay, prize",87,"pay, debt, receive, price"
βάλλω,469,lsj,"throw; throw so as to hit, hit; striking; smote upon",91,"throw, send, fall, forth",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",59,"throw, send, forth, forward"
ἵππος,459,lsj,horse; mare; team of chariot-horses; the chariot,15,"chariot, car, driver, horse",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",11,"chariot, car, driver, travelling"
ἵστημι,454,lsj,make to stand; stand; sthā; á-sthā-t,103,"raise, lean, inclining, make stand",3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",22,"draw, raise, drag, stand"
ἔπος,443,lsj,"vácas; word; utterance; that which is uttered in words, speech, tale",42,"speech, word, speak, talk",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
εἶδον,439,lsj,see; to be seen; seem; know,20,"appear, bring light, seen, forth",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",43,"know, appear, perceive, look",82,"know, appear, perceive, bring light"
κακός,437,lsj,"bad; ugly; ill-born, mean; craven, base",111,"hateful, hated, ruthless, terrible",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",79,"destiny, wretched, hateful, wrath"
ἑταῖρος,434,lsj,"comrade, companion; comrades-in-arms; messmate; fellowslave",-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",13,"shield, ranks, warrior, men"
αἱρέω,415,lsj,"take with the hand, grasp, seize; to take; having taken up; take away",86,"carry, snatch, away, evaporate",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",61,"hold, seize, stay, remain"
βαίνω,405,lsj,"walk, step; on foot; on ground; he went to",-1,(outlier),8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",57,"drive, pass, rush, path"
δῖος,398,lsj,heavenly; noble; noblest; excellent,81,"glorious, noble, famous, renowned",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",37,"noble, wrought, glorious, splendid",72,"noble, wrought, glorious, splendid"
Ἀχιλλεύς,382,lsj,Achilles; ‘Achilles and the Tortoise’,-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
τίθημι,376,lsj,"l), Alc; set, put, place; set; set for oneself",93,"set, beneath, lowest, high",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",92,"dwell, set, situated, devise"
φέρω,372,lsj,fero; beran; bhárati; náśati,46,"ti, quarterly, shear lay, bit",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
πατήρ,360,lsj,pitṛṣu; father; grandfather; by the fatherʼs side,125,"son, child, infant, father",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
φρήν,340,lsj,midriff; heart; very heart; sincere,78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
γίγνομαι,317,lsj,come into a new state of being; come into being; to be born; born,105,"born, beget, bring forth, engender",7,"come, return, near, arrive",16,"come, return, hither, arrive",29,"come, arrive, home, house",56,"come, arrive, reach, born"
Ἀθήνη,310,lsj,Athene; casting vote,1,"memnonion, du, des, grecs",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
καλός,309,lsj,"beautiful; beauteous; fair, shapely; beauty",-1,(outlier),9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
ἄγω,308,lsj,"lead, carry, fetch, bring; taking; take with one; carry off",-1,(outlier),8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",60,"lead, end, shut, fulfil"
οἶδα,303,lsj,know; knew; Stadtrecht von Gortyn; Koische Forschungen,17,"know, perceive, discover, recognize",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
μῦθος,300,lsj,"word, speech; mere word; public speech; plea",42,"speech, word, speak, talk",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
μέγαρον,299,lsj,"large room, hall; the chief room; womenʼs apartment; bedchamber",137,"house, chamber, inner, room",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
παῖς,296,lsj,child; son; daughter; adopted son,125,"son, child, infant, father",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
λαός,294,lsj,men; foot and horse; foot; a land army,-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",13,"shield, ranks, warrior, men"
γαῖα,294,lsj,"land, country; land; earth; the earth",116,"earth, ground, surface, deep",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",42,"star, olympus, heaven, middle"
ἐθέλω,293,lsj,to be willing; wish; wish to; wish that,13,"desire, want, wish, need",9,"desire, noble, strength, easy",19,"desire, wish, love, want",33,"wish, need, want, desire",65,"wish, need, want, desire"
ἱκνέομαι,290,lsj,"come; came; arrive at; reach, attain to",123,"arrive, reach, come, attain",7,"come, return, near, arrive",16,"come, return, hither, arrive",29,"come, arrive, home, house",56,"come, arrive, reach, born"
πούς,287,lsj,foot; talons; arms; feelers,-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
τότε,281,lsj,"at that time, then; in that case; then, next; formerly",67,"forthwith, soon, longer, second",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
πόλεμος,279,lsj,"war; battle, fight; single combat; War, Battle",27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
δόρυ,272,lsj,"stem, tree; plank; beam; mast",-1,(outlier),2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
δῶμα,271,lsj,"house; chief room, hall; a single house; housetop",137,"house, chamber, inner, room",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
ὅσος,266,lsj,"as great as, how great; as much as, how much; as far as, how far; as long as, how long",57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
γυνή,262,lsj,"woman; man; mistress, lady; the lasses",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",10,"slave, mistress, care, queen"
ἅμα,256,lsj,"at once, at the same time; partly.. partly; no sooner.. than; as soon as",66,"time, long, partly, old",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
μάχομαι,241,lsj,fight; fight with; against; with thy help,27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
ἔγχος,240,lsj,"spear, lance; weapon; sword; weapons",140,"spear, axe, sword, wand",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
ὄρνυμι,239,lsj,"ārta; orior; stir, stir up; urge on, incite",94,"stir, rouse, urge, excite",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",48,"rouse, stir, dance, song",96,"rouse, stir, shake, tremble"
πρῶτος,237,agwn,"(music) highest in pitch or chief among parts or voices or instruments or orchestra sections; ""first soprano""; ""the firs",53,"song, dance, sing, play",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",48,"rouse, stir, dance, song",94,"song, dance, choir, music"
ἀεί,237,lsj,"ever, always; until now; from of old; eternity",66,"time, long, partly, old",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",6,"old, age, youth, elders"
πρόσφημι,235,lsj,"speak to, address",36,"address, speak, accost, assembly",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",99,"address, speak, accost, surname"
ἔργον,233,lsj,weorc; varəza; work; tasks,31,"toil, work, suffer, labour",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
ἄναξ,232,lsj,"lord, master; sons; brothers of kings; lord",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",12,"lord, king, master, leader"
μνηστήρ,232,lsj,"wooer, suitor",-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
ἕκαστος,228,lsj,each; every one; every single; all and each severally,57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
ποτέ,227,agwn,"at all times; all the time and on every occasion: ""I will always be there to help you""; ""always arrives on time""; ""there",66,"time, long, partly, old",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
πόλις,225,lsj,city; the citadel; the city of; oneʼs city,-1,(outlier),1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",8,"honour, wonder, reverence, gift"
ἄριστος,223,lsj,best; noblest; a chief; bravest,101,"lord, queen, master, ruler",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",74,"high, courage, better, stout"
Ἀργεῖος,218,lsj,"from Argos, Argive; the Greeks; Argolis; womenʼs shoes",-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
γέρων,217,lsj,"old man; Elders, Chiefs; Senators; old",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",6,"old, age, youth, elders"
Ἀτρείδης,209,lsj,son of Atreus,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
εὖ,209,lsj,"well; well, thoroughly, competently; cunning; morally well, kindly",96,"courage, good, arrogant, manly",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",37,"noble, wrought, glorious, splendid",72,"noble, wrought, glorious, splendid"
μήτηρ,207,lsj,mother; dam; mother-bird; queen,101,"lord, queen, master, ruler",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
ξένος,207,lsj,guest-friend; guest; visitor; guests,34,"guest, banquet, meal, feast",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",9,"guest, banquet, dinner, meal"
πείθω,204,lsj,"persuade; obey; trust; prevail upon, persuade",75,"persuade, assent, refuse, appease",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",45,"pray, oath, herald, command",88,"pray, oath, herald, command"
θεά,199,lsj,goddess,-1,(outlier),1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
Αἴας,198,lsj,Ajax,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
χαλκός,197,lsj,copper; bronze; anything made of metal; the spear of bronze,0,"bronze, silver, copper, metal",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",31,"bronze, silver, gold, copper"
ἀθάνατος,197,agwn,"concerned with theory and data rather than practice; opposed to applied: ""pure science""",16,"counsel, craft, wise, plan",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",90,"trusty, cheat, truth, trusted"
κεῖμαι,195,lsj,"śáyate; cunae; to be laid; lie, lie outstretched",92,"sleep, lie, lay, bed",2,"chamber, sleep, sit, bed",5,"sleep, sit, seat, bed",6,"sleep, sit, seat, bed",15,"sleep, bed, lie, lay"
ἕπομαι,195,lsj,sacate; sequor; sèkti; saśc(a)-),-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
ἄγε,193,lsj,come on!,59,"hither, wherefore, place, way",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
τεῦχος,192,lsj,"tool, implement; implements of war, armour, arms; whole armour, harness; the gear",141,"strap, cord, thong, bar",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
στῆθος,190,lsj,breast; chest; breasts; the breast as the seat of feeling and thought,139,"breast, hollow, lap, guts",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",11,"breast, thigh, knee, arm",26,"breast, thigh, knee, arm"
αὐτίκα,190,lsj,"forthwith, at once, in a moment; on the spot; immediately; as soon as",67,"forthwith, soon, longer, second",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
Μενέλαος,190,lsj,Abiding-men,-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",13,"shield, ranks, warrior, men"
ἄνθρωπος,190,lsj,"man; gods; the men; the ideal man, humanity",100,"divine, mortal, god, zeus",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",40,"funeral, dead, mortal, alive"
κελεύω,190,lsj,"urge, drive on; exhort, bid; order; bade",14,"ready, make, order, prepare",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",45,"pray, oath, herald, command",88,"pray, oath, herald, command"
προσεῖπον,189,lsj,"speak to; address, accost; address; addressed",36,"address, speak, accost, assembly",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",99,"address, speak, accost, surname"
ἦμαρ,188,lsj,day; by day; on that day; the day,8,"day, light, morning, early",5,"day, funeral, black, cloud",12,"funeral, long, day, time",19,"long, day, time, morning",39,"day, morning, dawn, early"
Ἀγαμέμνων,184,lsj,Agamemnon; Agamemnonʼs son,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
μένος,183,lsj,"might, force; strength, fierceness; spirit; force, might",89,"strength, force, better, mighty",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",73,"strength, force, heavy, feeble"
ἵημι,182,lsj,Ja-c-io; sēmen; véti; vyánti,46,"ti, quarterly, shear lay, bit",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
μένω,182,lsj,"stay, wait; stand fast; stay at home, stay where one is; lodge, stay",85,"stay, remain, restrain, stop",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",61,"hold, seize, stay, remain"
ἀκούω,182,lsj,"hear; hear of, hear tell of; hear of; from",41,"voice, sound, speech, hear",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
μέλας,180,lsj,"black, dark; dark; pitched over; dark, swarthy",4,"dark, black, murky, gloom",5,"day, funeral, black, cloud",11,"black, dark, bright, shine",18,"black, dark, bright, shine",37,"black, dark, bright, light"
προσαυδάω,179,lsj,"speak to, address, accost; speak; to one; speak of",36,"address, speak, accost, assembly",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",99,"address, speak, accost, surname"
πίπτω,177,lsj,Exc. ex libris Herodiani; fall down; cast oneself down; fall,91,"throw, send, fall, forth",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",58,"ibo, sink, fall, come"
ἀλλήλων,176,lsj,"of one another, to one another, one another; mutually, reciprocally; one another; reciprocal",69,"like, equal, age, resembling",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",10,"meet, gather, pick, assembly",24,"mix, equal, alike, separate"
τεύχω,170,lsj,"make ready, make; produce by work; art; make, build",14,"ready, make, order, prepare",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",9,"bind, ready, fast, make",23,"ready, bind, fast, make"
βοῦς,170,lsj,"bullock, bull, ox; cow; cattle; buffalo",135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
ἐλαύνω,170,lsj,"drive, set in motion; drive; ride; row",-1,(outlier),8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",57,"drive, pass, rush, path"
οἷος,169,lsj,"such as, of what sort; what a man; what; like as",69,"like, equal, age, resembling",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
ἀμείβω,168,lsj,"change, exchange; changing; give in exchange; take in exchange",-1,(outlier),11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",44,"ask, inquire, pay, prize",87,"pay, debt, receive, price"
πῦρ,166,lsj,fire; funeral-fire; burn; sacrificial fire,3,"funeral, dead, rites, burial",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",40,"funeral, dead, mortal, alive"
ὄλλυμι,166,lsj,"destroy, make an end of; kill; doing away with; lose",80,"destroy, waste, bane, sack",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",39,"slay, kill, destroy, waste",75,"waste, destroy, sack, perish"
ἀγορεύω,165,lsj,"speak in the assembly, harangue; address; to address the house?; counsel",36,"address, speak, accost, assembly",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",10,"meet, gather, pick, assembly",25,"meet, gather, assembly, face"
λείπω,165,lsj,"leave, quit; is gone; leave behind, leave at home; leave",84,"leave, retire, gone, withdraw",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",62,"leave, retire, away, ward"
κρατερός,164,lsj,"strong, stout, mighty; stern, harsh; mighty, fierce; hard",-1,(outlier),9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",74,"high, courage, better, stout"
φωνέω,163,lsj,produce a sound; tone; speak loud; clearly,41,"voice, sound, speech, hear",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
Ἄρης,163,lsj,Ares; the god of destruction; of Ares; Mars,104,"olympus, phthia, cronos, ares",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",42,"star, olympus, heaven, middle"
φεύγω,162,lsj,"flee, take flight; ran; flee; the purpose",61,"flee, escape, avoid, shun",8,"flee, pass, away, drive",18,"flee, fear, away, hold",32,"flee, fear, wander, avoid",63,"flee, wander, avoid, escape"
εὐρύς,161,lsj,"wide, broad; loose; far-reaching, far-spread; várīyān",-1,(outlier),3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",20,"bend, curved, twisted, stretch"
πού,161,agwn,"with certainty: ""it's undoubtedly very beautiful""",-1,(outlier),9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
ἐάω,158,lsj,"suffer, permit; leave; alone; should be given up",31,"toil, work, suffer, labour",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",81,"toil, tears, pain, distressed"
Ἀπόλλων,157,lsj,Apollo,-1,(outlier),5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",42,"star, olympus, heaven, middle"
φαίνω,157,lsj,"bring to light, cause to appear; make; appear; show by baring",20,"appear, bring light, seen, forth",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",43,"know, appear, perceive, look",82,"know, appear, perceive, bring light"
ἐρύω,155,lsj,"drag, draw; drag; away, rescue; off for plunder, ransom",-1,(outlier),3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",22,"draw, raise, drag, stand"
κτείνω,155,lsj,"kill, slay; seeks to kill; the slayer, murderer; put to death",74,"slay, slaughter, kill, sacrifice",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",39,"slay, kill, destroy, waste",76,"slay, slaughter, kill, sacrifice"
θοός,154,lsj,"quick, nimble; swift; hasty; in haste",2,"swift, quick, hasty, light",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",36,"swift, little, haste, eager",70,"swift, haste, eager, quick"
δύο,154,lsj,two; two and two,55,"fifth, half, fourth, thrice",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
Δαναοί,154,lsj,the Danaäns; the Greeks; the sons; descendants of Danaus,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
εὔχομαι,154,lsj,pray; to utter; in prayer; pray that,71,"pray, vow, boast, votive offering",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",45,"pray, oath, herald, command",88,"pray, oath, herald, command"
ὦμος,154,lsj,the shoulder with the upper arm; the lower; arms; the shoulder,138,"shoulder, thigh, limb, ankle",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",11,"breast, thigh, knee, arm",26,"breast, thigh, knee, arm"
