work,book,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Iliad,1,0.18582878534876013,0.0056222444931352,0.007031827514518349,0.02752640549840492,0.23803186225173573,0.004016693810209329,0.10979372675479944,0.056924470045356515,0.08734381755972266,0.004524191320182503,0.007502467801171359,0.05813307724893338,0.023517868234555782,0.06988207385857283,0.02470278278702707,0.030915730621902473,0.012157813224499218,0.00642364347354349,0.014668490351626368,0.025452027801343296
Iliad,2,0.1361183586956124,0.012298064661319328,0.007158987513965459,0.04386105095816771,0.04510086104360536,0.03199379928477964,0.031439048406668314,0.02834199587210467,0.025301383230036313,0.004585166733275581,0.024529072093389715,0.04262158974529631,0.02345433818067621,0.0239781567196046,0.38400365725920904,0.014264214850354003,0.02422652106217572,0.02130769375119464,0.02737322269743187,0.04804281724113305
Iliad,3,0.034941173646192016,0.07859119610376432,0.0,0.016648149238921082,0.0482966456775259,0.021302274661202877,0.005981621813089406,0.02789521469740259,0.038455809783286395,0.007740245731756997,0.4089510809466716,0.02484372875783618,0.043356002243487825,0.0077401667531453834,0.010813416826032984,0.01095193856406436,0.02927038834027011,0.020123279580709162,0.06959685030379491,0.094500816330846
Iliad,4,0.07272070187801796,0.11822786719081382,0.005909257383291007,0.02559134022515684,0.06768213568943311,0.05870886476192197,0.005000876559256103,0.007606658784595843,0.05282755119518995,0.007703112930089898,0.1897919304679265,0.07491893145650509,0.030936284210131972,0.012758260631659794,0.03416251347730562,0.06652883301237099,0.09176987938328467,0.00864568007822385,0.00421566440867579,0.06429365627614925
Iliad,5,0.012066936547916454,0.18646453639086386,0.0028120808336512073,0.010947088527815174,0.13838311287448582,0.21270743827557834,0.006549100519177094,0.012433464972018665,0.04028713087647745,0.002467446884875656,0.029805946533902422,0.1154386512496653,0.007630466515069045,0.0046656227293828045,0.06103125304605116,0.035739018032280044,0.032644038391740376,0.00763681952769719,0.007247100394201234,0.07304274687715077
Iliad,6,0.012120754241103496,0.058587550598367934,0.0066674134377948755,0.023267208072663387,0.03628997796615699,0.03876667775967114,0.023213396119080784,0.044035448812905456,0.15278584869514847,0.011316839403972375,0.05669581505971373,0.09749945177998913,0.007497841341716269,0.0,0.05377930615645151,0.008197092241067872,0.024811730549458354,0.02128125853327745,0.08891688293117286,0.23426950630028798
Iliad,7,0.10434545037524799,0.06350332046201146,0.011850238082029842,0.029016143528761598,0.04912529985697599,0.02160055066331214,0.013464526874704088,0.06327775647340594,0.01932401873895435,0.00686864196832172,0.09853082114437288,0.054865515687494364,0.007414966968573771,0.029391806843347034,0.006848426154685355,0.012619241803290202,0.17441379974442547,0.014253993921243682,0.015068302876009354,0.20421717783283272
Iliad,8,0.0322155442056608,0.04060420127612067,0.0010392740554569474,0.028703795521142217,0.164509388186553,0.2201315576068907,0.006529581725817246,0.03269162363855051,0.021478072189208327,0.004855282072979201,0.007878294535238573,0.06384221045614252,0.010203990942025988,0.04833588449509431,0.007559603294887112,0.04569925564352794,0.05777333285551152,0.013089281497036911,0.021118561461529198,0.17174126434062648
Iliad,9,0.186336277776189,0.0029016770910222406,0.006593632769757381,0.02700636377313424,0.013503250892899485,0.03390309522357764,0.12430741815047429,0.09303268812467966,0.16387825211672064,0.013739127868475209,0.008026145955053271,0.025835282908388525,0.03186711171603476,0.03671441870984809,0.04541294058415828,0.012604159206377237,0.027924100506852467,0.026163410733294905,0.06275243781047485,0.05749820808258777
Iliad,10,0.10336854796581768,0.049842762368945914,0.006404962795082882,0.016369731166936193,0.028605466665202025,0.1775279971845375,0.010675537286481398,0.022507302564286676,0.019248092271195776,0.004929381438893819,0.04678942022813556,0.1026394850949184,0.09417938661246622,0.07614176705270582,0.018305092538963706,0.026137393257304912,0.04798186405164973,0.019525086664043702,0.04729556692438485,0.08152515586804729
Iliad,11,0.061217068450320315,0.17205027859579874,0.004193799824719188,0.03272490138646808,0.02416561150770112,0.1335375589594886,0.07997621159150844,0.03210237290875188,0.018993059363308654,0.003748473699159457,0.036144753288721215,0.021136888149467296,0.04064475295392438,0.028698218117053993,0.04504042552815573,0.034956229185878394,0.10076428188988207,0.01170631826606214,0.011771960850170696,0.10642683548345938
Iliad,12,0.024151382395277893,0.08954944476178306,0.00945637283922409,0.06815407284538283,0.019456147573867336,0.06786895551463935,0.005989386300353291,0.022694685895633043,0.013266929458179784,0.001786682219221573,0.00028490652568151804,0.0,0.0058867151116101454,0.01801823983047034,0.08411244231258536,0.033600242656035895,0.1958908905498172,0.013072759269227048,0.009945457874388648,0.31681428606662154
Iliad,13,0.0418113593769663,0.23903330500577874,0.007845547075659503,0.03062699289037333,0.05397216130251167,0.03697263343617996,0.0044355286949694026,0.0035374215889557555,0.0330203887568847,0.0035560772937838305,0.05222533016618807,0.01042797263206688,0.008897459025645805,0.02662820016923106,0.08413734476892501,0.027322123782540474,0.17021019337668758,0.01811761355880603,0.001975550504166001,0.14524679659367995
Iliad,14,0.07577806872405607,0.11217378937336715,0.008521386701073773,0.06630830100356062,0.2611321861297836,0.023662876030825803,0.008174526932088241,0.02034994833753062,0.04200070313324896,0.007189799156742319,0.018051373413439098,0.006226901887196846,0.020236976188702363,0.03328611706317034,0.0584643707373122,0.002062565565877889,0.08279250908458481,0.0037905744618948792,0.06121582073749155,0.08858120533805293
Iliad,15,0.019249570948899078,0.08115292968876449,0.005942263406379435,0.051245951673614946,0.16493207198962076,0.04677653157077747,0.025327348006553892,0.009552674379983929,0.026179410266864038,0.0041685508058690365,0.015754656588214067,0.014570467150183312,0.009273635776450352,0.060644793259347476,0.05036930332166215,0.049104697206213556,0.10825011680377078,0.0176932999821329,0.0022082973038316327,0.23760342987086683
Iliad,16,0.02476858066328833,0.20269745880559403,0.0014776543849723224,0.027409238989086444,0.03531979223402824,0.07896104776837666,0.18213632302523874,0.02355609794042248,0.03540323650931589,0.0019024799078012568,0.009370532504749994,0.00499288885342511,0.004497594792660743,0.04412919323264551,0.06611849376388632,0.014761479443950879,0.06425968860346666,0.015564109256781916,0.007330656898463478,0.15534345242184502
Iliad,17,0.007101528807548808,0.11270659647675439,0.0024827476762494948,0.020307075380298325,0.012605013365203593,0.06409159215902703,0.10478672681399832,0.001223470017604375,0.03500298902686599,0.002821566752850384,0.17946970771909793,0.020404751313805536,0.001976591921078817,0.035093555144146055,0.011940629085873603,0.0024196541592207445,0.1942196389662162,0.007785505443211841,0.006157187716393848,0.17740347205455484
Iliad,18,0.027719906715480087,0.032923655471117134,0.0036230869819343123,0.03193694493139056,0.1324947271550008,0.025915717322286102,0.19802762079173625,0.08846892601951244,0.0741868377638922,0.014594801162028354,0.004843340688304587,0.032404724621353846,0.011644780471072836,0.045809361060474486,0.043456668190573894,0.008222890110187146,0.04195903403268151,0.012330438584607036,0.04125039576908363,0.12818614215728275
Iliad,19,0.13315115872489888,0.06361583327337068,0.00752010766220073,0.01691819237782493,0.0890000606266693,0.06672838226239079,0.22163286847533228,0.05269670281466138,0.10413376058156211,0.005163458930243858,0.013222290984539382,0.024335900668430603,0.02834398791607377,0.05010038346617794,0.021125296514181244,0.009786582323196973,0.010134619314902279,0.01865230243989562,0.023856691960447648,0.039881418682999735
Iliad,20,0.013482567092922948,0.2238064530349879,0.006201167703862383,0.019008491056671496,0.17456859392232474,0.0494325912059216,0.18123861641383784,0.00714928731526666,0.06187812793758575,0.010949784182722197,0.004086382347852876,0.05406602102813336,0.010506652190301686,0.004884159948104275,0.04894004848814237,0.00609053954254098,0.014300042731504582,0.013089882377476967,0.0004737724632076264,0.09584681901663189
Iliad,21,0.004016555311201983,0.1104987933570238,0.0013822968960885062,0.14599169069526696,0.11314736864761966,0.012074222418409672,0.24306918041279907,0.018569136087087823,0.056183698589309765,0.0055902921033541345,0.002655498375030368,0.04197776002687334,0.010544845945820537,0.008857756826028367,0.06323349572671655,0.041903779644563946,0.007168521607259052,0.016405364750347595,0.0027538017896398138,0.0939759407895591
Iliad,22,0.005144944720030539,0.06779583009092907,0.001411065474682489,0.0176000271944486,0.013450454769841592,0.023220670202103475,0.21234589557284755,0.010187236002307878,0.12745969037544672,0.008607073312782404,0.011123778601229392,0.069236535371522,0.01805653002559504,0.010885404302373947,0.010256342746345482,0.006032591823845202,0.0014045821099386564,0.02824770979510335,0.0808952637080591,0.2766383738005676
Iliad,23,0.04295203714195095,0.02541243557450057,0.006270208527161423,0.046661200619246966,0.007435156154909196,0.2897927910536909,0.1617659393529196,0.05042109209145291,0.018604691113451297,0.011494637418285273,0.06472051341504913,0.02362404217042466,0.031823460292561605,0.029618357674358366,0.005228160928642994,0.03735430233183221,0.101327260546953,0.014559760621752271,0.020695200136236942,0.010238752834619806
Iliad,24,0.032796791584647884,0.0011715324001010188,0.00035297253051694196,0.014817651989143735,0.09038613128154324,0.058625902613977196,0.2558120933966512,0.07163002651479386,0.18019869871078625,0.010097441607365212,0.012334289314916435,0.01519592689057935,0.007843099074053715,0.04329816219855535,0.029188998099940505,0.006397321159832711,0.003068185166630837,0.0029734130584613896,0.071474764995537,0.09233659741196602
Odyssey,1,0.00637891963095628,0.013289412930623164,0.20507904768302984,0.05285437744364772,0.030916168462862405,0.0,0.0014545456250361108,0.09178981374223388,0.17961136144502415,0.03170609095273897,0.016458785072794323,0.12212893412138923,0.05470636420590532,0.0386375199908459,0.011737228619600916,0.0054738935136594115,0.0028803525106032104,0.061658428527961474,0.07059200732686982,0.0026467481942176233
Odyssey,2,0.027881580680170947,0.003216782791304307,0.2701513270824371,0.034766812984218604,0.010376422252403905,0.00047152425565349254,0.0011214800658293572,0.019211128450658827,0.12824065811813537,0.008499573769944858,0.004102695570445666,0.09044278397934166,0.057043234963697655,0.113266564087884,0.015355902582110491,0.005755087894963577,0.005387962457303209,0.16788498847536498,0.033458405361128984,0.0033650841770029834
Odyssey,3,0.0520585040987176,0.003744495917668315,0.12749770295085947,0.07165647360490623,0.008839667809565155,0.05532908061639015,0.014531999925666006,0.1419519209419115,0.1169341432038679,0.005634156066074995,0.07227199683804143,0.14132885391422143,0.009630879521851956,0.06567004449309014,0.05859078026466777,7.082689424922991e-05,0.007522128741806287,0.03100696465073564,0.012085807463031336,0.0036435720826772508
Odyssey,4,0.02166879382217613,0.003321072088679022,0.10762664722130007,0.06590441302220593,0.021995392094679985,0.03394514983259364,0.003661395300749285,0.06340211467453287,0.17626478744844531,0.013567429243271967,0.1405545329396382,0.03200350018063634,0.0319627267409799,0.09413452855866089,0.03343998227252668,0.006810135142814335,0.011454458701505035,0.03602507708629739,0.09441019164030993,0.007847671987997126
Odyssey,5,0.0,0.008089546590986055,0.00945316870444428,0.5020625635592865,0.050654403849618675,0.008075908741084544,0.0062127361009713805,0.023228383337570973,0.077379457640259,0.03640280667716745,0.003707309185084471,0.08032793056413873,0.08408297919608544,0.036055812070288865,0.0027933862665458493,0.0005656781233585543,0.00022118371387301437,0.04732997825593995,0.023356767423296364,0.0
Odyssey,6,0.0014836541208655485,0.002641020892128097,0.001704443180202991,0.07631368739306954,0.011085540087732838,0.006857755852429536,0.013733506927627178,0.04057387731384231,0.10671672628555977,0.2507662478753792,0.0,0.1767261118951896,0.06208674356102068,0.0277602909512094,0.048104163418922485,0.003052599058594818,0.0013659810559048843,0.0165368307841587,0.15165206899384645,0.000838750352316046
Odyssey,7,0.005942363559648712,0.0037005764215982625,0.0035592415453902107,0.10187857925759261,0.02176557242010926,0.002881784930982614,0.0035681825037905315,0.07951947622150975,0.08240593798173287,0.352179572226836,0.0031204664024465575,0.1033959680742612,0.05278277891192633,0.020075944430873682,0.032060439990577415,0.0,0.0,0.028530123241752844,0.10190425021622256,0.0007287416627485454
Odyssey,8,0.009739701325015542,0.00961110640451481,0.00954361397935782,0.009992203100330404,0.09074786142142734,0.010045779653958432,0.010585764924567004,0.09575307755503507,0.08607496865394648,0.40220045260205356,0.010088627410663088,0.022884886262573595,0.052121380477941785,0.03427900666720488,0.024558552768738258,0.04088353107084046,0.012795168111107392,0.02307506811478655,0.033089364690262545,0.011929884805674893
Odyssey,9,0.005095313983669861,0.02934575100535074,0.003992648184784031,0.13844997030435943,0.01979996283088774,0.00931267192756544,0.006018006582618965,0.11213941485325932,0.09714712060657316,0.023606623569979595,0.002751730442865755,0.006477525267246297,0.03321954871833743,0.35292711567098717,0.022474368570118978,0.04185451412539962,0.0071402290270354074,0.0676321968994536,0.008215980734571639,0.012399306694935901
Odyssey,10,0.001704313532638349,0.02907508003386813,0.006166533648773042,0.07547271890990448,0.039573614435391695,0.0016586238265755577,0.011177422137872057,0.09772502619882446,0.08043600031147304,0.01146418588753982,0.010352224836227612,0.018284725860517912,0.05194648368176875,0.4006050106581018,0.03534222402514172,0.013884908543174283,0.00858361537817252,0.04498175055871555,0.05837832911382078,0.0031872084214984594
Odyssey,11,0.016415706931188857,0.035423848709867756,0.011522188764879412,0.04388157076924386,0.0518139259487406,0.005707511566120588,0.04516085225835373,0.010522459090020612,0.1936550631903066,0.06132643112081719,0.01856670263445106,0.015427809505640955,0.039711020720002085,0.1477514657929961,0.06786739598089828,0.01955379981878771,0.05028660220673588,0.05273863458022174,0.10320808427967618,0.009458926131050744
Odyssey,12,0.007086442219934818,0.016140044029270273,0.0019243805755761833,0.26162622617268605,0.039367282451435066,0.0016409050831702001,0.006201773842314579,0.04632590566675425,0.04639544168827591,0.0044093870935564125,0.0006618056652256064,0.007468094507087355,0.010995590822728754,0.4565000948169444,0.013721946582694548,0.02408534202962048,0.0031204706994481103,0.03872371143807464,0.005166080114558142,0.008439074500644113
Odyssey,13,0.013976946612936489,0.0039604550919912634,0.017950051655909904,0.12428550480837113,0.02446274271029864,0.004425471381629551,2.6242138849936564e-05,0.025927348387611633,0.1256275086002993,0.2148902459907108,0.01515314769765207,0.17434460145732814,0.07661681970791485,0.06939202934048577,0.012446609251936401,0.005087653783219542,0.002694505118682631,0.04942820619296951,0.03372338070247931,0.005580529368723092
Odyssey,14,0.027953413626695244,0.019391551896097866,0.01931327154583623,0.06491780561394268,0.02169861935732086,0.010716401194527207,0.0015432273286785502,0.0781530955154761,0.18226935480351147,0.0018624946394056648,0.012792743469990568,0.005741706696262517,0.33598969508141463,0.08844640723140351,0.04975382069509883,0.007418029524823044,0.007663507817106765,0.02729649803860488,0.027887371623780615,0.009190984300022655
Odyssey,15,0.005850249895980964,0.0041231067826005986,0.1740429819946624,0.018652713001635634,0.01441539271521141,0.047508940459858505,0.002738525097060602,0.10319665484492124,0.11511082520198886,0.011087139951667511,0.12912731058991472,0.027231830859319375,0.08222298394519457,0.11610133307214242,0.05579534584951112,0.0010431897965453665,0.0009690478229673034,0.023051231402182636,0.06376032875257204,0.0039708679640625515
Odyssey,16,0.015319742381082555,0.011535175404480865,0.21810855554054337,0.012281985932972585,0.009135964677877799,0.000781161798030116,0.012844188118136682,0.05215099409970787,0.1250950999836538,0.010729431629112184,0.0008734713803191633,0.061525282287757485,0.21481868543734764,0.05443651546912906,0.023591825942724548,0.011538776315370456,0.0106544283767345,0.054268280205897704,0.09425003940097254,0.006060395618149112
Odyssey,17,0.009514806262718627,0.014908370637410214,0.23398290738891775,0.011962428778063338,0.012244895628282033,0.011115644125275171,0.0036541855100118764,0.07581758742998644,0.07501764333209782,0.021090704139648163,0.027927058303940724,0.00784508145341869,0.2982402878082627,0.036661799250961816,0.016647682934231075,0.0307495672141519,0.0038245673895092526,0.014191561313340336,0.08805114710705858,0.006552073992713513
Odyssey,18,0.021603064975086798,0.025929384860481016,0.19641401314476245,0.012063571635241856,0.03787446860269164,0.010439036570671408,0.00747105680638345,0.05261855856030379,0.08507687700934037,0.047085926973785545,0.006732800884961436,0.05914989732053096,0.1582542194345194,0.010737841755594342,0.005033922938368324,0.057491287162039606,0.009328705738740556,0.03932357838218051,0.14952229928216962,0.007849487962147048
Odyssey,19,0.004514226958480338,0.01696241366960727,0.0572426775607295,0.04201887824724895,0.006048554000904118,0.003404306321854645,0.004608916978174034,0.018726430061099343,0.1050494171112442,0.03422021586165461,0.0033812666244978943,0.02897631679875798,0.19358529114653025,0.029557459270585,0.01255521257919902,0.02500158481881135,0.0059167903621736165,0.11793121783219283,0.2868271795373734,0.0034716442588816504
Odyssey,20,0.007219989735719053,0.020081473759522822,0.21673431499598375,0.013006929618527816,0.03878570634826594,0.0004106566930204787,0.0023360349355259664,0.07984523789538885,0.09398236866233305,0.008919372252567778,0.0028231223015324027,0.057092543427254235,0.21653051973473203,0.017907621103399073,0.015610575516207387,0.01955382206462533,0.0006315408958136035,0.04456178816580628,0.1398817899581082,0.0040845919356659694
