lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y,gloss,gloss_source
ἐρεμνός,5,65,13,48,6,3.173628,9.227424,"murky, black, dark; dark, obscure",lsj
ἐρετμόν,27,103,29,14,9,2.9320261,10.636334,oar,lsj
ἐρεύγομαι,8,61,13,48,6,0.8412077,12.455151,"belch out, disgorge; belch; discharge itself; blurt out",lsj
ἐρητύω,21,145,14,16,18,1.100486,12.700839,"restrain, check; parts; to keep away from; prevent",lsj
ἐριαύχην,5,127,23,62,30,5.2886276,11.646563,with arched neck,lsj
ἐριβῶλαξ,20,-1,29,14,31,1.9045415,9.48653,with large clods; very fertile,lsj
ἐριδαίνω,6,-1,19,4,78,1.4145919,10.533478,"wrangle, quarrel; strive; compete in",lsj
ἐρικυδής,10,73,0,19,55,2.318633,8.791617,"very famous, glorious; a splendid",lsj
ἐρινεός,6,188,12,5,22,5.5558105,11.308459,"wild fig-tree, Ficus Caprificus; of the wild fig-tree",lsj
ἐριούνιος,5,28,2,2,69,5.5631385,8.387003,,none
ἐρυθρός,9,137,0,50,1,3.3385162,9.217503,"red; red pimples, eruption; yolk; Red Sea",lsj
ἐρωέω,11,-1,28,60,24,1.1259087,11.606022,"rush, rush forth; started back; escape harm; draw back",lsj
ἐρωή,11,103,10,0,148,2.7664418,10.791277,"quick motion, rush, force; throw; the force; swing",lsj
ἐρύκω,56,-1,7,6,109,0.648797,13.115001,"keep in, curb, restrain; keep; back; kept",lsj
ἐρύω,146,152,7,76,53,0.9719537,13.226532,"drag, draw; drag; away, rescue; off for plunder, ransom",lsj
ἐρῶ,91,234,9,22,26,0.2095957,11.203589,verbum; word; will say; speak,lsj
ἐσθής,15,159,1,41,64,4.476851,12.293243,"clothing, raiment; the dress; dress; toga pura",lsj
ἐσθίω,15,82,6,45,45,2.9521484,12.90948,eat; ration-strength; eat of; devour,lsj
ἐσθλός,148,-1,0,50,1,3.77721,8.677943,"good; brave, stout; noble; wellbred",lsj
ἐσσύμενος,16,-1,0,58,13,2.3694575,7.966553,"hurrying, eager, impetuous; eager, yearning for; furiously, eagerly",lsj
ἐσχάρα,11,167,11,23,126,4.517388,10.870197,"hearth, fire-place; pan of coals, brazier; watch-fires; sacrificial hearth",lsj
ἐσχατιά,14,167,11,23,102,4.528684,10.711303,"farthest part, edge, border; the edge; shore; the mouth",lsj
ἐτήτυμος,12,35,2,2,25,3.7246258,8.159652,"true; the truth; truthful; genuine, real",lsj
ἐτεός,18,58,0,50,2,2.805113,7.600847,"true, genuine; true; in truth, verily; rightly",lsj
ἐτώσιος,9,35,2,2,25,3.9031396,8.179154,"to no purpose, fruitless; fruitless; useless, unprofitable; undone",lsj
ἐυ,6,104,29,14,9,2.3938396,9.4901285,,none
ἐυκνήμις,29,104,29,14,9,2.3867893,9.505986,well-greaved; with goodly spokes,lsj (relaxed match)
ἐυκτίμενος,31,88,29,14,31,2.1451561,9.34482,good to dwell in; so as to be good to dwell in; well-made; well-wrought,lsj (relaxed match)
ἐυμμελίης,6,104,29,14,9,2.284869,9.445261,armed with good ashen spear,lsj (relaxed match)
ἐυρρεής,5,122,29,14,31,2.2672575,9.136525,fair-flowing,lsj (relaxed match)
ἐυστρεφής,7,122,29,14,124,2.2151077,9.104568,well-twisted; shapely,lsj (relaxed match)
ἐφάλλομαι,12,-1,35,35,0,0.6470136,14.081,spring upon; attack; having leaped upon,lsj
ἐφάπτω,8,134,10,0,16,1.4085678,10.866672,bind on; having fixed; by making fast; had made fast,lsj
ἐφέζομαι,7,155,14,12,95,0.87835246,14.300127,sit upon; sit by; near,lsj
ἐφέπω,46,134,10,0,16,1.2882526,10.965658,"ply, wield; apply, direct towards; against; ply, belabour, lay on to",lsj
ἐφίζω,7,155,14,12,95,0.87749815,14.25693,set upon; set; ashore; having set,lsj
ἐφίημι,32,-1,10,0,16,0.3403701,13.005715,"send to; sent; set on, incite; throw",lsj
ἐφίστημι,20,204,14,12,95,0.5092891,14.202047,"set, place upon; set over; to be appointed, instituted; bring in",lsj
ἐφανδάνω,9,145,18,18,23,0.81598943,12.377622,"please, be grateful to",lsj
ἐφετμή,10,103,10,0,148,2.7262537,10.941057,"command, behest; behests; demands, prayers",lsj
ἐφευρίσκω,9,177,9,9,58,0.40586033,13.719054,"find; discover, find anywhere; discovered; discover besides",lsj
ἐφοπλίζω,9,-1,14,29,135,1.095999,13.289279,"get ready; we will get ready our; fit out, equip, make ready; arm against",lsj
