lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y,gloss,gloss_source
ʼἀθήνη,9,10,10,0,16,6.348047,8.873727,Athene; casting vote,lsj
ʼὀδυσσεύς,7,24,10,0,16,6.5454493,8.642079,Odysseus; games in honour of Odysseus; temple of Odysseus,lsj
ʽἑκάεργος,6,-1,5,15,48,6.3284106,8.678793,nine,lsj
Αἰακίδης,25,24,5,15,76,6.6030936,8.390075,,none
Αἰγύπτιος,8,-1,5,24,94,5.672344,7.697491,Egyptian; in Egyptian style,lsj
Αἰθίοψ,7,-1,5,24,94,5.7238574,7.7570667,"Burnt-face; Ethiopian, negro; a fish; Ethiopian",lsj
Αἰνείας,77,39,5,15,76,7.1597347,8.113133,Aeneas,lsj
Αἰτωλός,14,15,5,24,94,5.784273,7.90821,,none
Αἴας,196,24,5,15,76,6.5608077,8.392693,Ajax,lsj
Αἴγισθος,18,-1,5,15,76,7.195322,8.319264,,none
Αἴγυπτος,6,-1,5,24,94,5.7413564,7.479559,the river Nile; King Aegyptus; Egypt; to Egypt,lsj
Αἴολος,5,36,5,15,76,7.0488977,8.320006,,none
Αἶσα,11,105,2,2,25,3.9509356,10.576689,"who dispenses to every one his lot; destiny; decree, dispensation; destiny decreed",lsj
Αὐτομέδων,23,47,5,15,76,7.4132705,7.9577055,,none
Αὐτόλυκος,15,98,5,15,76,7.4967465,8.351954,,none
Βελλεροφόντης,7,-1,10,0,115,7.17755,8.485474,,none
Βοιωτός,7,15,5,24,94,5.806406,7.8827066,a Boeotian; Boeotia; cattle-pastures; Boeotian,lsj
Βορέας,25,13,32,65,65,3.6040947,10.070537,north wind; Boreas; the north; to the north,lsj
Βρισηίς,10,20,5,15,48,6.6729927,8.1501255,,none
Γερήνιος,35,-1,5,15,76,6.9757185,8.26873,from Gerena; Gerenon,lsj
Γλαῦκος,21,-1,5,15,76,7.249275,8.504059,,none
Δάρδανος,16,36,5,15,76,7.1472597,7.9218054,Dardanus; Trojan; Trojan woman; Troy,lsj
Δαμαστορίδης,5,47,5,15,76,7.2972608,7.925673,,none
Δαναοί,154,15,5,24,94,5.7006783,7.8966823,the Danaäns; the Greeks; the sons; descendants of Danaus,lsj
Δαναός,5,15,5,24,94,5.71717,7.8914866,,none
Δαρδανίδης,12,40,5,15,76,7.104745,7.8820996,,none
Δευκαλίων,5,26,5,15,76,6.5732512,8.231422,,none
Δηίφοβος,18,40,36,17,138,7.069036,7.840881,,none
Δημήτηρ,6,27,5,15,48,6.133166,8.857559,Aus Lydien; Griechische Dialekte; Demeter; h.Cer,lsj
Δημόδοκος,6,97,5,15,76,7.3954906,8.376873,,none
Διιπετής,5,123,29,14,31,2.4644594,8.953892,fallen from Zeus; from heaven; fed; swollen by rain,lsj
Διομήδης,80,24,10,0,16,6.5582356,8.587531,Jove-counselled,lsj
Διοτρεφής,21,-1,0,19,55,2.3473635,8.682544,"minor or subordinate: ""by"" is often used in combination; ""a side interest""; ""a by (or bye) effect""; ""only a by comment"";",agwn
Διόνυσος,5,-1,5,15,48,6.2428846,8.605242,Dionysus,lsj
Δολίος,9,36,5,15,76,7.1389365,8.289365,,none
Δουλίχιον,6,-1,5,24,94,6.086132,7.358809,,none
Δόλων,7,36,5,15,76,7.12769,8.039148,,none
Εἰλείθυια,5,10,6,46,10,6.2798257,8.97171,she that comes; Ilithyia; parturition; offspring,lsj
Εὐαίμων,5,-1,5,15,76,7.2726893,8.284748,,none
Εὐπείθης,13,-1,5,15,76,7.4510775,8.363452,,none
Εὐρυνόμη,13,-1,5,15,48,7.2155976,8.504841,,none
Εὐρύαλος,8,97,5,15,76,7.409678,8.448438,,none
Εὐρύκλεια,23,-1,10,0,16,7.1112876,8.618583,,none
Εὐρύλοχος,10,98,5,15,76,7.4473333,8.392889,,none
Εὐρύμαχος,27,98,5,15,76,7.4642825,8.39085,,none
Εὐρύπυλος,21,97,5,15,76,7.4738584,8.45522,,none
Εὔμαιος,36,-1,5,15,76,7.340361,8.482476,,none
Εὔμηλος,9,97,5,15,76,7.3679843,8.458642,,none
Εὔρυτος,6,97,5,15,76,7.44558,8.433726,,none
Εὖρος,6,13,32,65,65,3.7233844,10.072448,the East wind; parching,lsj
Ζάκυνθος,5,12,5,24,94,6.083519,7.3209662,,none
Ζέφυρος,19,13,32,65,65,3.6300924,10.068818,westerly wind; the due West wind; northwest,lsj
Ζεύς,650,28,5,15,48,6.0709205,8.663617,dyaús; divás; diví; dyávi,lsj
Θέτις,41,27,5,15,48,6.084431,8.916188,Thetis,lsj
Θήβη,8,11,5,24,94,5.9659195,7.229015,,none
Θεοκλύμενος,8,-1,5,15,76,7.2421546,8.465353,,none
Θεσπρωτοί,9,14,5,24,94,5.922712,7.8763337,,none
Θηβαῖος,6,-1,5,15,76,6.5327287,8.288901,,none
Θράκιος,5,-1,5,24,94,5.9828258,8.075834,Thracian,lsj (relaxed match)
Θρασυμήδης,10,47,5,15,76,7.1909165,7.955648,,none
Θρᾷξ,15,14,5,24,94,5.9530315,7.969194,Thracian,lsj
Θόας,13,36,5,15,76,7.1588187,7.9500904,,none
Θόων,5,36,5,15,76,7.225898,8.029796,,none
Θῆβαι,9,11,5,24,94,5.9266367,7.231489,Thebes; to Thebes; at Thebes; from Thebes,lsj
Κάλχας,6,-1,5,15,76,7.3739386,8.336921,Calchas,lsj
Κίκονες,8,15,5,24,94,5.8788834,7.9129844,,none
Κίρκη,40,-1,10,0,16,6.4420023,8.702287,Circe,lsj
Καδμεῖος,8,15,5,24,94,5.792994,7.899485,,none
Καλυδών,6,12,5,24,94,6.020841,7.3029494,,none
Καλυψώ,22,27,5,15,48,6.114414,8.865031,Calypso,lsj
Καπανεύς,6,40,5,15,76,6.9268126,7.8760753,,none
Κεβριόνης,13,39,5,15,76,7.274191,8.103347,,none
Κεφαλλήν,5,14,5,24,94,5.915076,7.9143867,Cephallenian; Cephallenia,lsj
Κουρῆτες,5,15,5,24,94,5.916654,7.959134,,none
Κρής,15,15,5,24,94,5.8068204,7.861622,Cretan,lsj
Κρήτη,14,-1,5,24,94,5.8597145,7.27618,Crete; from Crete; to Crete,lsj
Κρονίδης,41,28,5,15,48,6.0437226,8.505632,son of Cronos; Zeus; an aged man,lsj
Κρονίων,71,28,5,15,48,6.0577793,8.536571,son of Cronos; Zeus,lsj
Κρόνος,23,28,5,15,48,6.074685,8.654626,"Cronos; Saturn; Saturday; a dotard, old fool",lsj
Κτήσιππος,5,-1,5,15,76,7.437219,8.200462,,none
Κύκλωψ,25,-1,5,24,94,6.155239,8.215376,Cyclops; Round-eyed; round-eyed; Polyphemus,lsj
Κύπρις,5,-1,25,25,105,6.23856,8.991694,"Cypris; Aphrodite; a Venus; love, passion",lsj
Κύπρος,5,9,5,24,94,5.7868595,7.263356,Cyprus; from Cyprus; to Cyprus,lsj
Λέσβος,6,11,5,24,94,5.8881145,7.216134,Lesbos; from Lesbos; at Lesbos; drinking-cup,lsj
Λαέρτης,27,-1,5,15,76,7.3006897,8.18705,,none
Λαερτιάδης,33,40,5,15,76,7.046122,7.910663,,none
Λακεδαίμων,13,9,5,24,94,5.833312,7.1860557,Lacedaemon; Laconia,lsj
Λαοδάμας,7,49,5,15,76,7.3252354,7.980444,,none
Λαομέδων,10,47,5,15,76,7.3165154,7.982929,,none
Λεοντεύς,5,40,5,15,76,6.9166174,8.057862,,none
Λητώ,15,27,5,15,48,6.102457,8.832856,Leto; born from Leto; temple of L,lsj
Λυκάων,19,40,5,15,76,7.0248485,8.036484,,none
Λυκία,19,9,5,24,94,5.8354893,7.222867,Lycia; from Lycia; to Lycia,lsj
Λυκομήδης,5,47,5,15,76,7.1533694,7.9623814,,none
Λυρνησσός,5,12,5,24,94,6.0810223,7.3271046,,none
Λωτοφάγοι,5,-1,5,24,94,5.9663563,7.859477,,none
Λύκιοι,44,15,5,24,94,5.8926406,7.8520274,,none
Λύκιος,5,15,5,24,94,5.870302,7.8788953,Lycian; the Lycians; history of Lycia,lsj
Λῆμνος,14,11,5,24,94,5.8882804,7.194266,Lemnos; from Lemnos; Lemnian,lsj
Μέγης,7,39,5,15,76,7.1029572,8.098117,,none
Μέδων,14,47,5,15,76,7.3466587,8.00259,,none
Μέντωρ,16,-1,5,15,76,7.325829,8.268297,,none
Μίνως,5,-1,5,15,76,6.9852815,7.9951878,Minos,lsj
Μαχάων,11,40,5,15,76,6.9738503,7.984984,,none
Μελάνθιος,11,49,5,15,76,7.4471335,8.1221285,,none
Μελάνιππος,7,-1,5,15,76,7.4558187,8.099099,,none
Μελέαγρος,5,-1,5,15,76,7.459766,8.132,,none
Μενέλαος,182,24,10,0,16,6.5788136,8.546832,Abiding-men,lsj
Μενεσθεύς,7,40,5,15,76,6.9499273,8.222913,,none
Μενοίτιος,19,36,5,15,76,7.2001567,8.256154,,none
Μενοιτιάδης,20,40,5,15,76,7.05797,7.8881145,,none
Μηκιστεύς,5,40,5,15,76,7.197586,7.916615,,none
Μηριόνης,57,39,5,15,76,7.156141,8.09901,pudenda muliebria,lsj
Μοῦσα,15,27,5,15,48,5.9338984,8.857557,"Muse; music, song; strain; liberal arts, accomplishments",lsj
Μυκήνη,8,-1,10,0,16,1.8679385,10.506407,"Mycene, Mycenae; Mycenaean; a Mycenaean; from Mycene",lsj
Μυρμιδόνες,42,15,5,24,94,5.719404,7.914665,,none
Μυσός,5,15,5,24,94,5.808884,7.878854,Mysian; a prey to all,lsj
Νέστωρ,111,24,10,0,16,6.603356,8.512502,Nestor,lsj
Ναιάς,5,-1,25,25,20,5.776494,9.2872925,"Naiad, river-nymph, spring-nymph",lsj (relaxed match)
Ναυσίθοος,5,-1,5,15,76,7.53632,8.237356,,none
Ναυσικάα,9,17,5,15,48,7.0785737,8.098718,,none
Νεστορίδης,13,47,5,15,76,7.3043904,7.887959,,none
Νηλεύς,17,40,5,15,76,6.8938165,7.89506,Neleus,lsj
Νηληιάδης,5,40,5,15,76,7.034228,7.8480134,,none
Νοήμων,5,36,5,15,76,7.1441355,8.188908,,none
Νότος,13,13,32,65,65,3.6627607,10.090242,,none
Ξάνθος,21,49,5,15,76,7.5140395,8.1356945,,none
Οἰνεύς,8,40,5,15,76,6.8837442,7.9931664,,none
Οὐρανίωνες,11,28,5,15,48,5.92911,8.442256,"the heavenly ones, gods; children of Uranos",lsj
Οὖτις,5,27,5,15,76,6.0522833,9.026872,,none
Πάνδαρος,8,-1,5,15,76,7.325275,8.219492,,none
Πάνθοος,5,-1,5,15,76,7.403976,8.275498,,none
Πάρις,11,-1,5,15,76,7.051889,8.298434,,none
Πάτροκλος,145,26,5,15,76,6.8419003,8.268003,Patroclus,lsj
Πήδασος,8,-1,5,24,94,6.1442676,7.394332,,none
Πήλιον,5,12,5,24,94,6.0707564,7.3336287,Pelion; at the foot of Pelion,lsj
Παίων,6,-1,5,15,76,5.9413733,7.8526125,,none
Παλλάς,50,27,5,15,48,6.0221653,8.825625,Pallas; coin bearing the head of Pallas; maiden-priestess; five,lsj
Παναχαιοί,12,15,5,24,94,5.7293906,7.864698,all the Achaeans; all Achaea,lsj
Πανθοίδης,8,40,5,15,76,7.1267176,7.877554,,none
Πατροκλῆς,6,-1,5,15,76,6.597481,7.8660517,,none
Πείραιος,7,-1,5,15,76,7.3152184,8.273579,,none
Πείσανδρος,9,-1,5,15,76,7.39561,8.130337,,none
Πειρίθοος,9,-1,5,15,76,7.425688,8.123885,,none
Πεισίστρατος,9,-1,5,15,76,7.4956226,8.259786,,none
Πελασγός,5,15,5,24,94,5.744413,7.916439,Pelasgian; Greeks,lsj
Περσεφόνεια,11,10,5,15,48,6.357717,8.868816,,none
Πετεώς,6,40,5,15,76,6.9355474,7.828153,,none
Πηλείδης,55,40,5,15,76,6.9999743,7.789224,,none
Πηλείων,29,40,5,15,76,6.9768305,7.8800545,,none
Πηλεύς,68,-1,5,15,76,6.9276953,7.954032,Peleus; son of Peleus; to Peleus’ son,lsj
Πηνέλεως,8,47,5,15,76,7.474404,8.14744,,none
Πηνελόπεια,74,24,10,0,16,6.545853,8.740584,Penelope,lsj
Πολίτης,5,36,5,15,118,7.1895075,8.334393,,none
Πολυποίτης,7,-1,10,0,115,7.201313,8.480247,,none
Πολύδωρος,5,-1,5,15,76,7.3243823,8.409596,,none
Ποσειδεών,77,28,5,15,48,6.097381,8.501333,,none
Πουλυδάμας,30,49,5,15,76,7.345703,7.9313397,,none
Πρίαμος,149,17,5,15,76,6.9847226,8.304495,priam; like Priam,lsj
Πριαμίδης,33,40,5,15,76,6.999303,7.8419237,,none
Προῖτος,5,36,5,15,76,7.287131,8.397277,,none
Πρωτεσίλαος,6,-1,5,15,76,7.399595,8.168266,First of the people; first; his monument; his festival,lsj
Πυλόνδε,6,90,21,71,17,4.959063,6.8623857,,none
Πόλυβος,13,-1,5,15,76,7.417496,8.39093,,none
Πύλιος,14,15,5,24,94,5.939957,7.824047,,none
Πύλος,33,9,5,24,94,5.8669844,7.1989007,Pylos,lsj
Σάμη,6,11,5,24,94,5.9014964,7.19045,,none
Σάμος,6,11,5,24,94,5.898357,7.2074385,Samos; a height,lsj
Σαρπηδών,41,26,5,15,76,6.839966,8.270527,Sarpedon; his shrine,lsj
Σειρήν,8,-1,6,46,10,6.0010767,8.740413,"Siren; Sirens; Siren, deceitful woman; the Siren charm",lsj
Σθένελος,10,-1,5,15,76,7.532531,8.143615,,none
Σιμόεις,8,-1,10,7,4,1.272686,9.458641,Simois,lsj
Σκάμανδρος,12,49,5,15,76,7.4473166,7.886119,Scamander; Scamandrian,lsj
Σκαιαί,12,-1,11,23,102,6.016349,7.676551,,none
Σκύλλα,11,-1,5,24,94,6.1425915,8.064887,Scylla,lsj
Σπάρτη,7,9,5,24,94,5.8538594,7.1805277,Sparta; from Sparta; to Sparta; a Spartan,lsj
Στύξ,6,78,11,23,126,4.9204693,10.133102,"the Styx; the Hateful; a well of fatal coldness in Arcadia; monster, reptile",lsj
Σῶκος,5,-1,5,15,76,7.334921,8.453847,,none
Τάφιοι,6,-1,5,24,94,5.9284506,7.8138227,,none
Τένεδος,5,11,5,24,94,5.900522,7.1975656,Tenedos,lsj
Ταλθύβιος,9,-1,5,15,76,7.4771233,8.357187,,none
Τειρεσίης,13,-1,5,15,76,6.933115,7.978102,,none
Τελαμωνιάδης,12,40,5,15,76,7.028189,7.8387375,,none
Τελαμών,28,26,5,15,76,6.6270046,8.271513,,none
Τελαμώνιος,13,26,5,15,76,6.5984793,8.282367,,none
Τεῦκρος,28,-1,5,15,76,7.1345053,8.4159355,,none
Τηλέμαχος,213,-1,5,15,76,7.11081,8.460145,,none
Τληπόλεμος,10,-1,5,15,76,7.483922,8.433941,,none
Τροία,71,9,5,24,94,5.7755127,7.15676,Troy; ‘Troy-town’; the Troad; from Troy,lsj
Τροίαθεν,5,90,5,24,94,5.316186,7.062726,,none
Τροίανδε,7,90,5,24,94,5.2947655,6.9954505,,none
Τρωικός,5,15,5,24,94,5.719509,7.8320293,Trojan; times of Troy; Trojan war,lsj (relaxed match)
Τρωιός,18,15,5,24,94,5.722837,7.818325,,none
Τρώς,631,15,5,24,94,5.693048,7.8881464,Tros; Trojans; Trojan men,lsj
Τρῳάς,10,15,5,24,94,5.7017093,7.847475,,none
Τυδεΐδης,5,40,5,15,76,7.0537844,7.805084,,none
Τυδείδης,62,40,5,15,76,7.066144,7.7929425,,none
Τυδεύς,41,40,5,15,76,6.9355288,7.7304378,Tydeus,lsj
Φαίαξ,69,14,5,24,94,5.93995,7.996359,Phaeacian; conduits; sewers,lsj
Φηραί,5,-1,11,23,102,6.001725,7.40711,,none
Φθία,9,9,5,24,94,5.806586,7.1923156,Phthia; to Phthia; at Phthia; a man of Phthia,lsj
Φοῖβος,52,27,5,15,48,6.1143355,8.696194,,none
Φοῖνιξ,20,-1,5,15,76,6.3049536,8.270628,Phoenician; Carthaginian; purple; crimson,lsj
Φυλάκη,6,11,5,24,94,5.9437294,7.2350144,,none
Φυλείδης,7,40,5,15,76,7.01006,7.8025694,,none
Φυλεύς,5,40,5,15,76,6.908801,7.9115624,,none
Φόρκυς,7,-1,5,15,76,6.3389616,7.5443025,Phorcys,lsj
Χάρις,8,-1,5,15,48,5.890798,8.851187,,none
Χάρυβδις,7,-1,11,23,126,6.164168,7.4482465,"Charybdis; whirlpool, gulf",lsj
Χρομίος,7,36,5,15,76,7.2205696,8.244718,,none
Χρυσηίς,6,20,5,15,48,6.6097693,8.13399,,none
Χρύσης,5,-1,5,15,76,7.3645463,8.254218,,none
αἰγίοχος,50,10,10,0,16,6.360226,8.757609,veho; aegis-bearing,lsj
αἰγίς,12,162,1,8,46,4.390737,11.575344,"goatskin; aegis; cuirass; rushing storm, hurricane",lsj
αἰγανέη,5,162,1,8,96,4.3985715,11.479576,"hunting-spear, javelin",lsj
αἰγυπιός,6,57,12,5,22,5.43693,9.959978,vulture,lsj
αἰδέομαι,40,232,13,11,19,0.45381173,11.993754,"to be ashamed; from a sense of shame; stand in awe of, fear; show a sense of regard",lsj
αἰδοῖος,43,46,15,78,38,5.229098,8.842557,"having a claim to regard, reverence; compassion; bashful, shamefaced; showing reverence",lsj
αἰδώς,20,207,16,31,7,3.3046904,11.406461,"reverence, awe, respect; shame, self-respect; sense of honour; shame",lsj
αἰειγενέτης,7,-1,10,63,63,1.3914897,9.523898,any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personifica,agwn
αἰζηός,20,57,10,0,90,5.291947,9.863175,"in full bodily strength, vigorous; stout, lusty",lsj
αἰθήρ,24,18,32,65,65,3.944363,10.259111,"ether, the heaven; upper; air; sky",lsj
αἰνέω,8,-1,28,59,120,0.98545337,11.901969,"tell, speak of; reports of; praise, approve; glorify",lsj
αἰνός,102,130,0,50,1,3.2857566,8.766593,"dread, horrible; dread, terrible; terribly; strangely, exceedingly",lsj
αἰπεινός,14,65,0,50,1,3.2587638,9.264995,"high, lofty; hasty, wicked; hard to reach",lsj
αἰπόλιον,6,-1,6,46,10,5.3665676,10.158794,herd of goats; goat-pasture,lsj
αἰπόλος,10,57,6,46,10,5.246104,9.836975,goatherd,lsj
αἰπός,7,132,29,14,31,3.039133,8.9984045,"high, lofty; falling sheer down",lsj
αἰπύς,50,-1,29,14,31,3.0682902,8.75803,"high and steep; on high; hanging high; sheer, utter",lsj
αἰσχρός,10,-1,0,58,13,3.3017669,8.635661,"causing shame, dishonouring, reproachful; ugly, ill-favoured; deformed; with an ugly",lsj
αἰσχύνω,11,-1,13,11,19,1.0151732,12.120508,"make ugly, disfigure; give; a bad form; dishonour, tarnish",lsj
αἰτέω,12,234,9,22,26,0.18683307,11.251242,"ask, beg; ask for, demand; ask leave; to ask",lsj
αἰτίζω,10,-1,13,11,93,0.86772287,11.878009,"ask, beg; ask; beg of; beg",lsj
αἰτιάομαι,6,201,10,7,4,1.4228908,11.597572,"accuse, censure; to accuse; accuse; bring a charge",lsj
αἰχμή,33,163,1,8,96,4.295204,11.3782015,point of a spear; point; spear; with the spear,lsj
αἰχμητής,28,-1,10,0,16,2.4407077,10.401051,"spearman, warrior; pointed; spear-wielding; warlike",lsj
αἰόλος,8,57,10,0,90,5.11942,9.919159,"quick-moving, nimble; wriggling; glittering; changeful of hue, sheeny",lsj
αἰών,10,-1,12,51,51,3.4793053,11.727195,"aevum; period of existence; lifetime, life; the Aeacidae",lsj
αἱματόεις,19,99,10,7,4,1.2603686,9.462841,"blood-red; of blood; suffused with blood, flushed; bloody, murderous",lsj
αἱρέω,408,-1,3,42,42,0.58472866,13.315655,"take with the hand, grasp, seize; to take; having taken up; take away",lsj
αἴ,13,110,31,34,113,3.5412161,6.4615784,,none
αἴγειρος,8,59,6,46,146,5.3413577,10.485258,"black poplar, Populus nigra",lsj
αἴγλη,5,21,32,65,65,3.8554246,10.598967,the light of the sun; moon; daylight; sunshine,lsj
αἴθουσα,19,-1,13,48,6,4.5033526,10.898785,"portico, verandah, to catch the sun; loggia",lsj
αἴθω,22,21,13,48,6,3.597828,10.463264,"light up, kindle; burn, blaze; burnt fiercely; aestas, aestus",lsj
αἴθων,16,-1,10,0,90,5.099375,9.941116,"fiery, burning; fiery; flashing, glittering; red-brown, tawny",lsj
αἴνυμαι,13,212,20,56,27,1.2712501,13.114664,"take; taking hold of; seizes; enjoy, feed on",lsj
αἴξ,46,56,6,46,10,5.559639,10.170939,goat; ibex; the star Capella; goose,lsj
αἴρω,43,134,10,0,16,1.3653058,10.932304,"give shape to: ""form the clay into a head""",agwn
αἴσιμος,22,105,2,2,25,3.5712674,8.249674,"appointed by the will of the gods, destined; fatal; agreeable to the decree of fate, meet, fitting; right",lsj
αἴσυλος,6,105,2,2,25,3.3765182,10.472885,"unseemly, evil, godless",lsj
αἴτιος,16,-1,2,2,25,3.3632185,7.8901057,"culpable, responsible; the most guilty; the accused, the culprit; they who have sinned against",lsj
αἶα,26,78,2,2,25,4.57303,10.420408,avia,lsj
αἶθοψ,32,144,26,67,67,4.426849,9.89989,fiery-looking; flashing; sparkling; fiery,lsj
αἶσα,22,105,2,2,25,3.8475616,10.707451,"who dispenses to every one his lot; destiny; decree, dispensation; destiny decreed",lsj
αἶσχος,7,105,2,2,25,4.103121,12.162325,"shame, disgrace; disgraceful deeds; ugliness, deformity",lsj
αἶψα,135,83,31,34,113,2.8981454,6.4314466,"quick, forthwith, on a sudden",lsj
αἷμα,113,119,22,57,57,3.7560236,12.663466,blood; streams of blood; anything like blood; dye,lsj
αὐγή,19,103,10,0,148,3.487272,10.6246,"light of the sun; rays, beams; the light; in a full",lsj
αὐδάω,96,108,10,0,16,0.5639222,10.710772,"utter sounds, speak; utter; speak, say; twas said",lsj
αὐδή,18,103,10,0,148,2.5885754,10.849399,"human voice, speech; sound; twang; report, account",lsj
αὐδήεις,6,103,10,0,148,2.2250643,10.780901,speaking with human voice; using human speech; vocal; rumour,lsj
αὐλή,41,-1,11,69,34,4.5622783,10.964827,open court; courtyard; steading; court,lsj
αὐλός,5,138,12,5,5,2.892186,11.7193985,"pipe, flute, clarionet; a trumpet; the flute; pipes",lsj
αὐτίκα,165,83,31,34,113,2.9861023,6.282327,"forthwith, at once, in a moment; on the spot; immediately; as soon as",lsj
αὐτοκασίγνητος,6,45,15,78,38,5.12992,8.946699,own brother,lsj
αὐτοσχεδόν,9,29,18,18,104,1.9553572,7.483083,"near at hand, hand to hand; near, close to; on the spot, at once",lsj
αὐτοῦ,89,-1,21,1,52,2.2861426,6.920915,just there; just here; there!; here in,lsj
αὐτόθι,32,-1,21,1,52,2.2364168,6.8913274,on the spot,lsj
αὐχήν,39,216,1,72,72,5.086814,12.21513,"neck, throat; gullet; one neck; high-spirited",lsj
αὔριον,10,-1,21,1,100,2.9229996,6.676138,to-morrow; tomorrow; on the morrow; till morning,lsj
αὔτως,54,84,21,77,3,2.7578673,7.0103226,"in this very manner, even so; just as I am; in the self-same way, likewise; just so",lsj
αὔω2,47,-1,20,54,87,1.3864397,12.074113,"cry out, shout, call aloud; utter; call upon; ring",lsj (homograph 2)
αὖθις,124,84,21,77,3,2.847825,6.70342,"back, back again; again, anew; encore!; in turn",lsj
αὖος,7,30,2,2,69,3.9999363,9.792431,dry; a pole; stale; withered,lsj
βάζω,16,114,10,0,16,1.748622,10.699843,"speak, say; address; has been spoken",lsj
βάλλω,456,81,20,66,32,0.9693039,13.585192,"throw; throw so as to hit, hit; striking; smote upon",lsj
βάσκω,6,-1,21,71,17,3.907257,6.7541986,speed thee! away!; come!,lsj
βέλος,89,158,1,8,96,4.507281,11.859024,"missile; arrow, dart; hurled; thrown",lsj
βέλτερος,8,79,2,44,49,3.4717562,7.8077354,"better, more excellent; it is better",lsj
βένθος,11,167,11,23,126,4.364792,10.930496,depth,lsj
βία,96,210,16,31,7,3.385311,11.32463,"bodily strength, force; act of violence; against; will, in spite of",lsj
βίβημι,6,227,20,66,32,1.4964498,12.188061,to stride,lsj
βίοτος,37,-1,26,28,29,3.4683988,11.609131,"a set containing all and only the members of two or more given sets: ""let C be the union of the sets A and B""",agwn
βαίνω,391,-1,14,12,95,0.30248353,14.073071,"walk, step; on foot; on ground; he went to",lsj
βαθυδίνης,6,72,10,0,16,1.8164914,9.661923,deep-eddying,lsj
βαθύς,38,132,29,14,31,3.1600766,9.082869,deep; high; within a high fence; the deep,lsj
βαρύνω,6,186,20,66,32,1.7056538,13.450393,"weigh down, oppress, depress; he is heavy; weary; disabled",lsj
βαρύς,33,-1,0,50,1,3.150708,8.544472,"heavy in weight; strength and force; bushy; heavy with age, infirmity",lsj
βασίλεια,10,-1,23,13,56,4.814723,9.039558,"queen, princess",lsj
βασίλειος,6,94,2,44,49,3.492259,7.6930704,royal; the kingʼs; of the archon; basilica,lsj
βασιλεύς,99,55,23,13,56,4.748948,9.055406,"king, chief; captain; judge; hereditary king",lsj
βασιλεύω,10,55,23,13,56,4.649428,9.097118,"to be king, rule, reign; was king; reigned as queen; to have become king",lsj
βιάζω,6,230,13,48,12,0.32539225,12.275745,constrain; they used force; to be hard pressed; overpowered,lsj
βιάω,11,-1,13,48,12,0.8157077,12.2494135,constrain; to be forcibly driven; will; yield to force,lsj
βιός,16,-1,12,5,22,5.5123744,11.393369,bow; jiyā´; gijà,lsj
βλάπτω,26,198,14,29,68,1.57401,14.201638,"disable, hinder; disable; lame; entangled",lsj
βλέφαρον,27,-1,1,72,72,5.050851,12.145838,eyelids; eyes,lsj
βλεμεαίνω,6,201,10,7,4,1.6336807,11.7352,exult,lsj
βλώσκω,7,225,7,47,50,-0.0461688,14.011242,go or come; has passed,lsj
βοάω,27,227,20,66,32,1.4930075,11.924981,"cry aloud, shout; men ready to shout; roar, howl; resound, echo",lsj
βοή,66,-1,33,33,85,5.688273,8.843509,"loud cry, shout; battle-cry; of war; cry",lsj
βοείη,11,162,1,8,96,4.387421,11.540462,,none
βομβέω,5,228,20,66,32,1.3838515,12.044914,make a booming noise; fell with a loud noise; flew humming; roar,lsj
βουκολέω,5,157,14,16,59,2.122209,12.145376,tend cattle; graze; range through the sky; graze on,lsj
βουκόλος,14,57,6,46,10,5.4614773,9.874263,tending kine; worshipper of Dionysos in bull-form; devotee; qṷel,lsj
βουλή,88,136,9,9,99,2.0841038,10.66853,"will, determination; counsel, design; counsel, advice; ground of argument",lsj
βουλεύω,32,-1,9,9,99,0.8236529,11.209668,"take counsel, deliberate; determine; resolve after deliberation; in council",lsj
βουληφόρος,17,50,23,13,56,4.6262383,9.429347,"counselling, advising; like a counsellor",lsj
βούλομαι,32,206,4,43,43,-0.34505686,11.555239,"will, wish, be willing; wish is will; willed; that supports",lsj
βοῦς,164,56,6,46,10,5.608572,10.183308,"bullock, bull, ox; cow; cattle; buffalo",lsj
βοῶπις,14,25,5,15,48,5.7273445,8.943518,"ox-eyed; having large, full eyes",lsj
βρίθω,13,-1,20,66,32,1.6544636,12.477261,to be heavy; weighed down with; to be laden with; full of,lsj
βραχίων,6,216,1,72,72,5.015667,12.036479,arm; the shoulder; shoulder of beasts; force of arm,lsj
βραχεῖν,9,-1,20,66,32,1.6626651,12.490618,"rattle, clash, ring; roar; creak; shriek",lsj
βριαρός,7,-1,0,50,1,3.0879314,9.356411,strong,lsj
βριθύς,6,-1,20,66,32,3.02409,8.861079,heavy,lsj
βροντάω,6,227,20,66,32,1.4584639,12.367798,thunder; Jupiter Tonans; it thunders; if it thunders,lsj
βροτολοιγός,13,111,12,5,22,2.9555044,11.015955,"plague of man, bane of men",lsj
βροτόεις,9,99,10,7,4,1.2338438,9.5207815,gory,lsj
βροτός,101,32,15,20,114,5.3121443,8.384098,mortal man; dead; mṛtás; morior,lsj
βρυχάομαι,5,-1,20,66,32,1.6880176,12.385401,"roar, bellow; death-cry; wail; the roaring of waves",lsj
βρότος,5,215,16,26,41,3.5745575,11.51379,"blood that has run from a wound, gore",lsj
