lemma,sense_id,n_occ,field_hdbscan,field_label,field_ward_25,gloss,top_context_lemmas
οἶκος,0,2,-1,,14,house; built houses; any dwelling-place; cave,ἕκαστος γῆρας ἔπειμι Ἄργος πάτρη ἱστός ἐποίχομαι λέχος ἀντιάω καταδύω λαμπρός φάος
ἕδος,0,2,-1,,12,"sitting-place; seat, stool; straight-backed chair; seat, abode, dwelling-place",θεός πᾶς ἀνίστημι σφός πατήρ ἐθέλω Ὀλύμπιος ἀστεροπητής στυφελίζω
ὄσσε,0,2,6,"ward, divide, resolve, apart separate",5,the two eyes; oqṷ-ye,πῦρ λαμπετάω εἴκω1 δεινός φαίνω
κοῖλος,0,2,-1,,15,hollow; hold; vena cava; plate,ναῦς εὔχομαι Δαναοί γέρων κιχάνω δηθύνω ὕστερος εἶμι χραισμέω σκῆπτρον στέμμα θεός
ἀφίημι,0,2,10,"send, set, lead, having",8,"send forth, discharge; throw oneself; give oneself up; let loose",
μυθέομαι,0,2,-1,,8,speak; converse; say that; order,Ἀχιλλεύς κέλομαι Ζεύς φίλος μῆνις Ἀπόλλων ἑκατηβελέτης ἄναξ αἰχμητής τίθημι θεός προτίθημι
μετεῖπον,0,2,4,"speak, address, exchange, accost",3,"speak among, address",φρονέω ἀγοράομαι
ἀγοράομαι,0,2,4,"speak, address, exchange, accost",24,"meet in assembly, sit in debate; speak in the assembly, harangue; speak, utter; speak, talk with",φρονέω μετεῖπον
φεύγω,0,2,-1,,8,"flee, take flight; ran; flee; the purpose",Ἀτρείδης παλιμπλάζομαι οἴομαι ἀπονοστέω θάνατος πόλεμος δαμάζω λοιμός Ἀχαιός θυμός ἐπισεύω
δεινός,0,2,-1,,10,"fearful, terrible; fearful; awful; danger, suffering, horror",κλαγγή γίγνομαι ἀργύρεος βιός ὄσσε φαίνω
ἀστεροπητής,0,2,14,"dreams, augur, strong, powerful busied",20,lightener,Ὀλύμπιος ἐθέλω ἕδος στυφελίζω Ζεύς λέχος εἶμι
ἀργύρεος,0,2,5,"silver, overgrown, gold, breast",15,of silver; silver-plated; silver coin,δεινός κλαγγή γίγνομαι βιός κώπη ἔχω χείρ βαρύς
ὦμος,0,2,19,"thigh, knee, nail, sheath",12,the shoulder with the upper arm; the lower; arms; the shoulder,χώομαι βαίνω Ὄλυμπος κάρηνον κῆρ τόξον ἔχω ἀμφηρεφής φαρέτρα κλάζω ὀιστός κινέω
κῆλον,0,2,-1,,11,shaft; arrow; the shafts; timbers,στρατός θεός οἴχομαι ἐποίχομαι εὐρύς Ἀχαιός
ἐπίηρα,0,2,-1,,11,acceptable; gifts; service; for the sake of,μήτηρ φίλος φέρω πατήρ Ἥφαιστος κλυτοτέχνης ἄρχω ἀγορεύω λευκώλενος Ἥρα παράφημι νοέω
ἀγείρω,0,2,-1,,7,"gather together; gather, assemble; herded; collect, gather",ὁμηγερής γίγνομαι ἀνίστημι μετάφημι πούς ὠκύς Ἀχιλλεύς ἐρέτης
κραίνω,0,2,-1,,21,"accomplish, fulfil; accomplish; give true; come true",ἔλδωρ Σμινθεύς χαρίεις ναός ἐρέφω πίων μηρία καίω ταῦρος αἴξ Ζεύς πατήρ
