lemma,sense_id,n_occ,field_hdbscan,field_label,field_ward_25,gloss,top_context_lemmas
Ἀχαιός,0,41,22,"greeks, olympus, men, cronos",25,Achaean; the Achaeans; Greeks; Achaia,ναῦς πᾶς Ἀτρείδης δίδωμι υἱός εὐρύς ἔχω Ἀπόλλων ἄριστος γέρας ἄποινα λαός
Ζεύς,0,31,22,"greeks, olympus, men, cronos",18,dyaús; divás; diví; dyávi,Ὄλυμπος φίλος Ἀπόλλων δῶμα ἔπος υἱός Ἀχαιός ἔρχομαι Ὀλύμπιος λίσσομαι ὀνίνημι ἔργον
πᾶς,0,31,-1,,21,all; the whole; every; all the,Ἀχαιός θεός ἀνήρ ἐθέλω Ἀτρείδης οἴομαι κρατέω πείθω λίσσομαι μέγας ἀνάσσω σημαίνω
ναῦς,0,30,8,"sea, earth, land, salt",13,ship; the ships; ships; naús,Ἀχαιός εἶμι Ἀπόλλων θοός μέλας ἔρχομαι κλισία λύω φέρω στέμμα ἔχω χείρ
θεός,0,30,22,"greeks, olympus, men, cronos",18,"God, the Deity; against his will; bless you! good heavens! for heavenʼs sake!; weather",πᾶς Ἀχαιός δῶμα εἶμι μάκαρ Ὄλυμπος δίδωμι χραισμέω στρατός κῆλον ἐπιπείθομαι ἑκατόμβη
Ἀτρείδης,0,21,36,"peleus, son, nether, world place",18,son of Atreus,Ἀχαιός Ἀγαμέμνων λαός πᾶς θυμός εὐρύς κρείων λίσσομαι κοσμήτωρ δίδωμι ἁνδάνω ἀνίστημι
Ἀχιλλεύς,0,21,-1,,24,Achilles; ‘Achilles and the Tortoise’,πούς ὠκύς πρόσφημι δῖος Ἀχαιός μῆνις Πηλείδης πρῶτος ἄναξ ἀπαμείβομαι ἀμείβω εἶδον
φίλος,0,20,-1,,24,"beloved, dear; dear; friend; friends, kith and kin",Ζεύς Ἀπόλλων χείρ πατήρ μήτηρ εὔχομαι Δαναοί παῖς δέχομαι ναῦς πολύς ἄγω
εἶμι,0,18,32,"sit, stay, leap, stand",4,"ibo; shall go, shall come; come; go, depart",ναῦς θεός Ζεύς Ὄλυμπος χραισμέω αἱρέω γέρας ἄγω Φθία πολύς φέρτατος κορωνίς
θυμός,0,18,27,"blood, heart, feeling, life",10,"soul, spirit; the principle of life, feeling and thought; of strong feeling and passion; breath, life",Ἀτρείδης Ἀχαιός θεά δαίς1 Ἀγαμέμνων ἁνδάνω παύω μέγας ἵημι λευκώλενος Ἥρα ἄμφω
δίδωμι,0,18,20,"destroy, accept, away, lay",7,"give freely; to be ready to give, offer; things offered; grant, assign",Ἀχαιός ἄγω γέρας κόρη αἱρέω υἱός Ἀτρείδης θεός πόλις ἄλγος ἑκηβόλος ἐθέλω
μέγας,0,18,-1,,21,"big; full-grown; elder; vast, high",πᾶς Ἀχαιός φρήν χαίρω Τρώς θυμός κολεόν ξίφος ὅρκος Πρίαμος Ὄλυμπος οἴομαι
χείρ,0,18,19,"thigh, knee, nail, sheath",12,"the hand; closed; open, flat; a single hand",ἔχω Ἀπόλλων φίλος ναῦς Ἀχαιός εὔχομαι τίθημι ἔρχομαι θοός λύω θυγάτηρ φέρω
ἀνήρ,0,17,16,"son, lord, man, old",24,"nar; ner-, nṛ; man; woman",ἄναξ πᾶς δῖος ἱλάσκομαι ἱερός ῥέζω Ἀγαμέμνων Ἀργεῖος πείθω Ἀχαιός εἷς ἀρχός
Ἀπόλλων,0,17,22,"greeks, olympus, men, cronos",18,Apollo,ναῦς Ἀχαιός ἑκηβόλος Φοῖβος λύω ἄποινα ἔχω χείρ φίλος Ζεύς ἔρχομαι θοός
ἔχω,0,16,10,"send, set, lead, having",7,check; seĝh; sáhate; sigis,Ἀχαιός χείρ Ἀπόλλων γέρας ἔρχομαι ναῦς ἄποινα ἑκηβόλος θοός λύω θυγάτηρ φέρω
ἔρχομαι,0,16,32,"sit, stay, leap, stand",4,"ibo; start, set out; was setting out; was",ναῦς Ἀχαιός ἔχω Ἀπόλλων Ζεύς Ὄλυμπος θοός λύω θυγάτηρ φέρω ἀπερείσιος ἄποινα
πείθω,0,16,31,"tolerable, worth, fulfil, accused",8,"persuade; obey; trust; prevail upon, persuade",οἴομαι πᾶς μῦθος ἀνήρ κρατέω Ἀχαιός ἔπος ἔρχομαι ἀμείνων χολόω μέγας Ἀργεῖος
ἔπος,0,15,-1,,10,"vácas; word; utterance; that which is uttered in words, speech, tale",Ζεύς πρόφρων ἔργον χείρ εἶπον πείθω ἔρχομαι μάχομαι Ὄλυμπος ὀνίνημι ὄμνυμι ἀρήγω
Ἀγαμέμνων,0,15,-1,,24,Agamemnon; Agamemnonʼs son,Ἀτρείδης κρείων ἄναξ Δαναοί Ἀχαιός ἀτιμάω εὐρύς ἀνήρ ἁνδάνω θυμός εὔχομαι ἄριστος
φημί,0,15,-1,,8,"say, affirm, assert; shall we say of; speak; think, deem, suppose",εὔχομαι δάκρυ χέω ἄγω Βρισηίς καλλιπάρηος εἶμι κλισία γέρας εἶδον ὅσος φέρτερος
εἶπον,0,14,34,"speak, attempt, ask, make",8,"said; avocam; vac; speak, say",μάντις Ζεύς Ἀπόλλων ἕζομαι εὔχομαι Δαναοί χείρ πολύς Ἀχαιός ἔπος πᾶς εἴρω2
ἄγω,0,14,10,"send, set, lead, having",7,"lead, carry, fetch, bring; taking; take with one; carry off",δίδωμι καλλιπάρηος ἱερός ἑκατόμβη αἱρέω Ὀδυσσεύς Βρισηίς ἄναξ Δαναοί πατήρ φίλος κόρη
πολύς,0,14,-1,,21,"many; often; frequent; much, mighty",Ἀχαιός Δαναοί ναῦς ἀράομαι Ἀπόλλων φίλος εὔχομαι χείρ εἶπον Φθία γέρας ἀφαιρέω
βαίνω,0,13,32,"sit, stay, leap, stand",4,"walk, step; on foot; on ground; he went to",θίς θάλασσα Ὄλυμπος Χρυσηίς δῶμα Ζεύς ἑκατόμβη ἕκαστος ἀκέων πολύφλοισβος κάρηνον χώομαι
γέρας,0,13,26,"strength, death, strife, fear",10,"gift of honour; the last honours; privilege, prerogative; gift, present",δίδωμι Ἀχαιός ἔχω αἱρέω πᾶς μεγάθυμος εἶμι ἄγω πολύς υἱός ἴσος ἀπαυράω
Ἥρα,0,13,22,"greeks, olympus, men, cronos",18,Hera; nine; servo; inhabitants of Heraea,λευκώλενος θεά ἵημι ἄμφω θυμός φιλέω κήδω βοῶπις πότνια φρήν τίθημι πατήρ
Ὄλυμπος,0,12,-1,,14,"Olympus; sky; to, towards Olympus; from O",Ζεύς ἔρχομαι θεός εἶμι βαίνω δῶμα ἔπος καλέω πᾶς δωδέκατος μέγας κάρηνον
οἶδα,0,12,11,"know, perceive, better, des",7,know; knew; Stadtrecht von Gortyn; Koische Forschungen,πᾶς ναῦς Ἀχαιός ἀγορεύω θεός ἕκαστος ἀνίστημι Κάλχας Θεστορίδης οἰωνοπόλος ἄριστος ἡγέομαι
υἱός,0,11,16,"son, lord, man, old",24,Vasen mit Meister-signaturen; pitṛṣu; son; a son,Ἀχαιός Ζεύς δίδωμι γέρας Ἀχιλλεύς Λητώ παῖς λύω φίλος ἄποινα δέχομαι ἅζομαι
φρήν,0,11,12,"speech, stature, growth, heart",10,midriff; heart; very heart; sincere,μέγας τίθημι θεά λευκώλενος Ἥρα μένος ἀμφιμέλας πίμπλημι κακός φίλος μαντεύομαι Κλυταιμνήστρη
ἐθέλω,0,11,13,"wish, owe, willing, urge",8,to be willing; wish; wish to; wish that,πᾶς βασιλεύς ἔχω δίδωμι Ὀλύμπιος Ἀχαιός Δαναοί θεοπροπέω ἀγορεύω ἑκηβόλος ἄλγος τεύχω
λαός,0,11,-1,,24,men; foot and horse; foot; a land army,Ἀτρείδης Ἀχαιός λίσσομαι πᾶς κοσμήτωρ εἶδον ὀλέκω Χρύσης ἀτιμάζω ἀρητήρ δέκατος ἀγορά
εἶδον,0,10,11,"know, perceive, better, des",7,see; to be seen; seem; know,Ἀχιλλεύς τοῖος ἀνήρ οἷος Πειρίθοος Δρύας ποιμήν λαός Καινεύς Ἐξάδιος ἀντίθεος Πολύφημος
πατήρ,0,10,16,"son, lord, man, old",23,pitṛṣu; father; grandfather; by the fatherʼs side,φίλος μήτηρ Ζεύς ἀεικής λοιγός ἄγω ἀθάνατος θεός παράφημι νοέω ἐπίηρα φέρω
ἅλς1,0,10,8,"sea, earth, land, salt",13,salt; rock-salt; brine; sugar,θίς ναῦς Ἀτρείδης ἀτρύγετος πολιός Ἀχαιός μέλας ἐρύω1 δῖος θοός προερύω λῦμα
ἄναξ,0,10,16,"son, lord, man, old",24,"lord, master; sons; brothers of kings; lord",ἀνήρ Ἀγαμέμνων ἄγω Ἀχιλλεύς Ἀπόλλων Ζεύς Χρύσης πέμπω παῖς Φοῖβος ἱερός ἑκατόμβη
μάχομαι,0,10,24,"arm, fight, anger, judgement",7,fight; fight with; against; with thy help,ἔπος Ἀχαιός ἔρχομαι Τρώς Πρίαμος θεός ἔρις συνίημι ἀναίδεια ἐπιέννυμι κερδαλεόφρων πρόφρων
μῦθος,0,10,12,"speech, stature, growth, heart",10,"word, speech; mere word; public speech; plea",κρατερός τέλλω πείθω ἀπιθέω Ἀθήνη ἀνίστημι ἀπειλέω τελέω Ἥρα πᾶς ἐπέλπομαι οἶδα
ἑκατόμβη,0,10,38,"shooting, far, fingered large, feeding",10,an offering of a hundred oxen; sacrifice; eye-salve,ἱερός Ἀπόλλων ἄγω Φοῖβος εὐχωλή ἐπιμέμφομαι αἴξ λοιγός Ἀγαμέμνων Δαναοί Χρύση βαίνω
πρόσφημι,0,9,4,"speak, address, exchange, accost",3,"speak to, address",ἀπαμείβομαι πούς ὠκύς Ἀχιλλεύς νεφεληγερέτα Ζεύς κρείων Ἀγαμέμνων εἶδον βαρύς στενάχω μέγας
οἴομαι,0,9,34,"speak, attempt, ask, make",8,"forebode, presage; expect; suspect; fear",πᾶς πείθω Ἀχαιός κρατέω Ἀτρείδης παλιμπλάζομαι ἀπονοστέω θάνατος φεύγω πόλεμος δαμάζω λοιμός
ἱκνέομαι,0,9,-1,,7,"come; came; arrive at; reach, attain to",Ἀχαιός ναῦς μέλας Ἀτρείδης ἐυκνήμις θεός δίδωμι Ὀλύμπιος δῶμα ἔχω ἐκπέρθω Πρίαμος
βασιλεύς,0,9,16,"son, lord, man, old",24,"king, chief; captain; judge; hereditary king",ἐθέλω Πηλείδης ἐρίζω ὁμοῖος μείρομαι τιμή σκηπτοῦχος Ζεύς κῦδος δίδωμι Ἀχαιός χολόω
Δαναοί,0,9,22,"greeks, olympus, men, cronos",25,the Danaäns; the Greeks; the sons; descendants of Danaus,εὔχομαι φίλος Ἀγαμέμνων πολύς Ἀπόλλων Ζεύς Κάλχας θεοπροπία ἀναφαίνω ζάω χθών δέρκομαι
αἱρέω,0,9,10,"send, set, lead, having",7,"take with the hand, grasp, seize; to take; having taken up; take away",γέρας δίδωμι ἄγω Αἴας εἶμι Ὀδυσσεύς καλλιπάρηος ἔχω ἀπαυράω ξανθός κόμη Πηλείων
τίθημι,0,9,-1,,4,"l), Alc; set, put, place; set; set for oneself",χείρ Ἀχαιός φίλος μυρίος ἄλγος φρήν θεά λευκώλενος Ἥρα ἑκατόμβη αἰχμητής θεός
εὔχομαι,0,9,2,"dishonour, bend, alive, awe",8,pray; to utter; in prayer; pray that,Δαναοί φημί Ἀπόλλων φίλος χείρ Ζεύς Κάλχας θεοπροπία ἀναφαίνω ζάω χθών δέρκομαι
θεά,0,9,22,"greeks, olympus, men, cronos",19,goddess,λευκώλενος Ἥρα θυμός ἵημι ἄμφω φιλέω κήδω καλέω μῆνις ἀείδω Πηλείδης Ἀχιλλεύς
πόλεμος,0,8,26,"strength, death, strife, fear",10,"war; battle, fight; single combat; War, Battle",Ἀχαιός Ἀτρείδης παλιμπλάζομαι οἴομαι ἀπονοστέω θάνατος φεύγω δαμάζω λοιμός πλείων πολυάιξ χείρ
μήτηρ,0,8,16,"son, lord, man, old",23,mother; dam; mother-bird; queen,φίλος πατήρ χείρ Ζεύς ἐπίηρα φέρω καρτερός θεά γείνομαι φέρτατος πλείων ἀνάσσω
γέρων,0,8,16,"son, lord, man, old",24,"old man; Elders, Chiefs; Senators; old",δείδω ἀργυρόπεζος Θέτις θυγάτηρ ἅλιος κοῖλος ναῦς κιχάνω δηθύνω ὕστερος εἶμι χραισμέω
Ὀλύμπιος,0,8,22,"greeks, olympus, men, cronos",18,"Olympian, of Olympus, dwelling on Olympus; of Olympus",Ζεύς ἐθέλω ἀστεροπητής Ἀτρείδης ἐυκνήμις Ἀχαιός θεός δίδωμι δῶμα ἔχω ἐκπέρθω Πρίαμος
κόρη,0,7,16,"son, lord, man, old",23,girl; maiden; nymphs; bride,δίδωμι Δαναοί ἄγω ἀφαιρέω ἀεικής λοιγός ἀπωθέω πατήρ φίλος ἑλικῶπις ἀπρίατος ἀνάποινος
κακός,0,7,23,"best, better, force, bad",21,"bad; ugly; ill-born, mean; craven, base",βασιλεύς χολόω νόσος στρατός ὄρνυμι Κάλχας πρώτιστος ὄσσομαι προσεῖπον μάντις κρήγυος εἶπον
Πηλείδης,0,7,36,"peleus, son, nether, world place",18,,Ἀχιλλεύς ἀνήρ βασιλεύς κλισία μῆνις ἀείδω θεά οὐλόμενος εἷς ἀρχός βουληφόρος Αἴας
Τρώς,0,7,22,"greeks, olympus, men, cronos",25,Tros; Trojans; Trojan men,Ἀχαιός μάχομαι μέγας χαίρω τιμή Πρίαμος πᾶς ἀρήγω τίνω ἔρχομαι αἰχμητής αἴτιος
εὐρύς,0,7,-1,,19,"wide, broad; loose; far-reaching, far-spread; várīyān",Ἀχαιός στρατός Ἀτρείδης κρείων Ἀγαμέμνων ἀνίστημι ἥρως ἄχνυμαι πολύς λωίων δῶρον ἀφαιρέω
ἀνάσσω,0,7,-1,,7,"to be lord, master; to be lord, hold sway in; to be lord of; to be master of",πᾶς κλύω ἀργυρότοξος Χρύση ἀμφιβαίνω Κίλλα ζάθεος Τένεδος εἶμι ναῦς ἑταῖρος Μυρμιδόνες
τελέω,0,7,31,"tolerable, worth, fulfil, accused",8,"fulfil, accomplish, execute, perform; did it; perform; fulfil",Ζεύς βουλή χόλος καταπέσσω ἔχω κότος στῆθος ἐσθλός εἶπον ἔπος οἴομαι ἀνίστημι
πρῶτος,0,7,-1,,21,,Ἀχιλλεύς διίστημι ἐρίζω Ἀτρείδης ἄναξ ἀνήρ δῖος ὀρεύς ἐποίχομαι κύων ἀργός σκῆπτρον
κλισία,0,7,-1,,10,"place for lying down; reclining; hut, shed, booth; cot, cabin",ναῦς ἄγω Βρισηίς καλλιπάρηος εἶμι ἴσος Πηλείδης γέρας εἶδον ὅσος φέρτερος στυγέω
ἀνίστημι,0,7,-1,,4,"make to stand up, raise up; raised; raisefrom sleep, wake up; raise from the dead",Ἀτρείδης ἀγείρω ὁμηγερής γίγνομαι μετάφημι πούς ὠκύς Ἀχιλλεύς Κάλχας Θεστορίδης οἰωνοπόλος ἄριστος
ἀμείβω,0,7,4,"speak, address, exchange, accost",8,"change, exchange; changing; give in exchange; take in exchange",δῖος Ἀχιλλεύς ἀνήρ ποδάρκης ἄναξ Ἀγαμέμνων Θέτις δάκρυ χέω πατήρ θεός βοῶπις
παῖς,0,7,16,"son, lord, man, old",23,child; son; daughter; adopted son,δέχομαι φίλος Πρίαμος χαίρω Δαναοί ἄναξ λύω ἄποινα ἅζομαι Ζεύς υἱός ἑκηβόλος
στρατός,0,7,-1,,14,"army, host; the commons, people; band; body",εὐρύς Ἀχαιός κῆλον θεός βασιλεύς χολόω νόσος ὄρνυμι κακός οἴχομαι πολύς λωίων
πούς,0,7,-1,,19,foot; talons; arms; feelers,ὠκύς Ἀχιλλεύς πρόσφημι ἀπαμείβομαι ἀγείρω ὁμηγερής γίγνομαι ἀνίστημι μετάφημι εἶδον βαρύς στενάχω
δῶμα,0,7,-1,,14,"house; chief room, hall; a single house; housetop",Ζεύς θεός Ὄλυμπος βαίνω Ἥφαιστος ἕκαστος Ἀτρείδης ἐυκνήμις Ἀχαιός δίδωμι Ὀλύμπιος ἔχω
ἄποινα,0,7,1,"grief, gift, splendid, thigh bones",11,ransom; price paid; to recover oneʼs freedom; to save oneʼs life,Ἀχαιός ἑκηβόλος Ἀπόλλων δέχομαι λύω θυγάτηρ ἔχω ἱερεύς ἀγλαός ἔρχομαι θοός ναῦς
κλύω,0,7,29,"hear, rouse, escape notice, waste",8,hear; from; hear of; have heard,ἀργυρότοξος Χρύση ἀμφιβαίνω Κίλλα ζάθεος Τένεδος ἀνάσσω Φοῖβος Ἀπόλλων θεός ἐπιπείθομαι πότνια
προσεῖπον,0,7,4,"speak, address, exchange, accost",3,"speak to; address, accost; address; addressed",Κάλχας πρώτιστος κακός ὄσσομαι θεά γλαυκῶπις Ἀθήνη Πηλείδης ἀταρτηρός ἔπος Ἀτρείδης Ταλθύβιος
χώομαι,0,7,2,"dishonour, bend, alive, awe",8,to be angry; to be angry at; about; because of,ὦμος θυμός βαίνω Ὄλυμπος κάρηνον κῆρ τόξον ἔχω ἀμφηρεφής φαρέτρα κλάζω ὀιστός
ὠκύς,0,6,-1,,19,"quick, swift, fleet; quickness, sharpness; shrill",πούς Ἀχιλλεύς πρόσφημι ἀπαμείβομαι ἀγείρω ὁμηγερής γίγνομαι ἀνίστημι μετάφημι εἶδον βαρύς στενάχω
ἔργον,0,6,12,"speech, stature, growth, heart",10,weorc; varəza; work; tasks,Ζεύς ἔπος ὀνίνημι λοίγιος Κλυταιμνήστρη προβέβουλα κουρίδιος ἄλοχος χείρων δέμας φυή φρήν
φέρω,0,6,10,"send, set, lead, having",7,fero; beran; bhárati; náśati,θοός ναῦς Ἀπόλλων ἔρχομαι Ἀχαιός λύω θυγάτηρ ἀπερείσιος ἄποινα στέμμα ἔχω χείρ
καλλιπάρηος,0,6,-1,,20,beautiful-cheeked,ἄγω Χρυσηίς Βρισηίς κλισία αἱρέω βαίνω εἶμι γέρας εἶδον ὅσος φέρτερος στυγέω
τίνω,0,6,-1,,7,pay a price; pay; acquit oneself of; render,Ἀχαιός ἄριστος Τρώς Δαναοί δάκρυον βέλος θυμός ἀμύσσω χώομαι τυτθός μιμνήσκω παρέζομαι
Χρυσηίς,0,6,36,"peleus, son, nether, world place",20,,καλλιπάρηος βαίνω ναῦς Δαναοί θεοπροπέω ἀγορεύω ἑκηβόλος ἄλγος τεύχω κόρη ἀγλαός ἄποινα
ἧμαι,0,6,32,"sit, stay, leap, stand",4,"āste; to be seated, sit; sit still, sit idle; encamp",εὑρίσκω ναῦς ἐθέλω ἔχω γέρας δεύω2 κλισία μέλας κλύω πότνια μήτηρ βένθος
λίσσομαι,0,6,-1,,8,"beg, pray; pray; prays; that",πᾶς Ἀχαιός Ζεύς Ἀτρείδης κοσμήτωρ λαός μένω Ἀχιλλεύς μεθίημι χόλος μέγας ἕρκος
δαίς1,0,6,-1,,12,"meal, banquet; duly shared; banquet; sacrificial feast",θυμός δέω ἴσος Ζεύς παύω πόνος τεύχω δαίνυμι πατήρ Ὠκεανός ἀμύμων Αἰθίοψ
ἵημι,0,6,33,"throw, crown, choose, hurl",4,Ja-c-io; sēmen; véti; vyánti,θεά λευκώλενος Ἥρα ἄμφω θυμός φιλέω κήδω ἰός Ἀργεῖος κακός βέλος πόσις2
εἴρω2,0,6,34,"speak, attempt, ask, make",8,"say, speak, tell; is said; ask",Ζεύς μάντις ἱερεύς ὀνειροπόλος ὄναρ εἶπον τόσος χώομαι Φοῖβος Ἀπόλλων εὐχωλή ἐπιμέμφομαι
γίγνομαι,0,6,28,"cut, leave, draw, stream",1,come into a new state of being; come into being; to be born; born,ἄνθρωπος θεός δεινός κλαγγή ἀργύρεος βιός ἀγείρω ὁμηγερής ἀνίστημι μετάφημι πούς ὠκύς
ἱερός,0,6,-1,,10,"filled with; manifesting divine power, supernatural; great; holy",ἑκατόμβη ἄγω ἀνήρ Δαναοί Χρύση Ὀδυσσεύς ἱλάσκομαι ῥέζω ἄναξ ἀεικής λοιγός ἀπωθέω
Φοῖβος,0,6,22,"greeks, olympus, men, cronos",19,,Ἀπόλλων κλύω ἑκατόμβη ναῦς πέμπω ἄναξ μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς
ἑκηβόλος,0,6,38,"shooting, far, fingered large, feeding",20,attaining his aim; far-shooting,Ἀπόλλων ἄποινα λύω ἔχω ἔρχομαι θοός ναῦς Ἀχαιός θυγάτηρ φέρω ἀπερείσιος στέμμα
δέχομαι,0,6,20,"destroy, accept, away, lay",4,"take, accept, receive; receive; at the hand of; accept",ἄποινα παῖς ἀγλαός φίλος ἑκηβόλος πᾶς ἐπευφημέω Ἀχαιός αἰδέομαι ἱερεύς λύω ἅζομαι
ἀθάνατος,0,6,21,"mortal, earth, ones, perfect",25,,εἶδον πατήρ τοῖος ἀνήρ οἷος Πειρίθοος Δρύας ποιμήν λαός Καινεύς Ἐξάδιος ἀντίθεος
κρείων,0,5,-1,,18,"ruler, lord, master; queen",Ἀγαμέμνων Ἀτρείδης εὐρύς ἀπαμείβομαι πρόσφημι Ἀχαιός ἀνίστημι ἥρως ἄχνυμαι ἀτιμάω μιμνήσκω παρέζομαι
ἀφαιρέω,0,5,20,"destroy, accept, away, lay",7,take away from; took; from; relieve,πολύς δίδωμι Ἀχαιός κόρη γέρας ἀπειλέω μογέω υἱός Χρυσηίς Φοῖβος Ἀπόλλων ναῦς
βάλλω,0,5,33,"throw, crown, choose, hurl",4,"throw; throw so as to hit, hit; striking; smote upon",βέλος ἐχεπευκής ἐφίημι σκῆπτρον γαῖα χρύσεος ἧλος πείρω φρήν ἅλς1 λῦμα εὐνή
Θέτις,0,5,22,"greeks, olympus, men, cronos",18,Thetis,ἀργυρόπεζος θυγάτηρ ἅλιος γέρων ἀμείβω δάκρυ χέω λανθάνω ἐφετμή παῖς ἅπτω γόνυ
ἕζομαι,0,5,32,"sit, stay, leap, stand",4,"seat oneself, sit; sank; crouch; sink",εἶπον ναῦς Ἀχιλλεύς δακρύω ἑταῖρος λιάζομαι θίς ἅλς1 πολιός ὁράω ἀπείρων πόντος
Κρονίων,0,5,22,"greeks, olympus, men, cronos",18,son of Cronos; Zeus,Ζεύς πατήρ μέγαρον ἀκούω εὔχομαι φημί κελαινεφής οἶος ἀθάνατος ἀεικής λοιγός ἀμύνω
ἀπαμείβομαι,0,5,4,"speak, address, exchange, accost",8,"reply, answer",πρόσφημι πούς ὠκύς Ἀχιλλεύς κρείων Ἀγαμέμνων νεφεληγερέτα Ζεύς
νοέω,0,5,11,"know, perceive, better, des",7,"Excerpta e libris Herodiani; perceive by the eyes, observe; perceive by the mind, apprehend; take notice",πατήρ οἶδα ναῦς σῶς μάχομαι Ἀχαιός ἀποστείχω Ἥρα πρόφρων τλάω εἶπον ἔπος
Ἀθήνη,0,5,22,"greeks, olympus, men, cronos",18,Athene; casting vote,Παλλάς ὁρμαίνω φρήν θυμός ἕλκω κολεόν μέγας ξίφος ἔρχομαι γιγνώσκω προσεῖπον θεά
ἑταῖρος,0,5,-1,,25,"comrade, companion; comrades-in-arms; messmate; fellowslave",ναῦς εἶμι Μυρμιδόνες ἀνάσσω ἀφαιρέω Χρυσηίς Φοῖβος Ἀπόλλων πέμπω Πηλείδης κλισία ἴσος
ἵστημι,0,5,32,"sit, stay, leap, stand",4,make to stand; stand; sthā; á-sthā-t,ταρβέω αἰδέομαι βασιλεύς θεός ἱερός ἑκατόμβη εὔδμητος βωμός ἱστός ἱστίον λευκός πετάννυμι
βουλή,0,5,12,"speech, stature, growth, heart",10,"will, determination; counsel, design; counsel, advice; ground of argument",Πρίαμος συμφράζομαι Ζεύς τελέω γηθέω παῖς Τρώς μέγας χαίρω θυμός πᾶς πυνθάνομαι
λοιγός,0,5,-1,,12,"ruin, havoc; destruction; pa-liegti",ἀμύνω ἀεικής ἑκατόμβη Δαναοί πατήρ μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς εἶπον
δῖος,0,5,-1,,19,heavenly; noble; noblest; excellent,ἀνήρ Ἀχιλλεύς ἀμείβω πρῶτος διίστημι ἐρίζω Ἀτρείδης ἄναξ ποδάρκης ναῦς μέλας ἐρύω1
Χρύσης,0,5,-1,,14,,Ἀπόλλων θοός ναῦς Ἀχαιός χείρ πέμπω ἄναξ ὀλέκω λαός ἀτιμάζω ἀρητήρ Ἀτρείδης
Ὀδυσσεύς,0,5,-1,,24,Odysseus; games in honour of Odysseus; temple of Odysseus,ἄγω αἱρέω Αἴας ἀρχός ἀνήρ ἱερός πολύμητις δίδωμι εἶμι γέρας εἷς βουληφόρος
θοός,0,5,-1,,15,"quick, nimble; swift; hasty; in haste",ναῦς Ἀχαιός φέρω Ἀπόλλων ἔρχομαι λύω θυγάτηρ ἀπερείσιος ἄποινα στέμμα ἔχω χείρ
λύω,0,5,25,"luo, shut, look gaze, loosen",7,"luo; re-luo, solvo; se-luo), solūtus; loosen",Ἀπόλλων ναῦς Ἀχαιός ἄποινα ἑκηβόλος ἔρχομαι θοός θυγάτηρ φέρω ἀπερείσιος στέμμα ἔχω
θυγάτηρ,0,5,16,"son, lord, man, old",23,"daughter; maidservant, slave; duhitár",ἄποινα Ἀπόλλων ἔρχομαι θοός ναῦς Ἀχαιός λύω φέρω ἀπερείσιος στέμμα ἔχω χείρ
χόλος,0,5,26,"strength, death, strife, fear",10,"gall, bile; gall, bitter anger, wrath; rage; anger towards",στῆθος καταπέσσω ἔχω κότος τελέω ἦτορ λάσιος μερμηρίζω φάσγανον ὀξύς ἐρύω1 μηρός
μέλας,0,5,-1,,15,"black, dark; dark; pitched over; dark, swarthy",ναῦς ἐρύω1 ἱκνέομαι ἅλς1 δῖος θοός φέρω ἀναιρέω ἀέκων εὑρίσκω κλισία ἧμαι
σκῆπτρον,0,5,-1,,10,staff; stick; staffs; supports,ναῦς στέμμα Ἀπόλλων χρύσεος ἔρχομαι θοός Ἀχαιός λύω θυγάτηρ φέρω ἀπερείσιος ἄποινα
ἴσος,0,5,-1,,8,equal; like; copy; the same,δαίς1 ἔχω γέρας εἶμι κλισία θυμός δέω Ἀχαιός Τρώς ἐκπέρθω ναίω πτολίεθρον
ἱλάσκομαι,0,5,2,"dishonour, bend, alive, awe",8,,ἀνήρ Ἑκάεργος ἱερός ῥέζω θεός ἄναξ πείθω εἷς ἀρχός βουληφόρος Αἴας Ἰδομενεύς
καλέω,0,5,4,"speak, address, exchange, accost",8,"call, summon; they had been summoned; demand, require; call to oneself",πᾶς ἔρχομαι θεά ὑπολύω δεσμός ἑκατόγχειρος μακρός Ὄλυμπος Βριάρεως θεός ἀνήρ Αἰγαίων
λευκώλενος,0,5,-1,,19,white-armed,Ἥρα θεά ἵημι ἄμφω θυμός φιλέω κήδω φρήν τίθημι Ἥφαιστος κλυτοτέχνης ἄρχω
κήδω,0,4,2,"dishonour, bend, alive, awe",6,"trouble, distress; to be concerned, care for; mourn for; caring for",ἵημι θεά λευκώλενος Ἥρα ἄμφω θυμός φιλέω Δαναοί θνήσκω ὁράω ἀνέχω φίλος
ἐφίημι,0,4,20,"destroy, accept, away, lay",7,"send to; sent; set on, incite; throw",ἄναξ βέλος ἐχεπευκής βάλλω Χρύσης πέμπω ἀνήρ Ἀγαμέμνων παῖς ἄγω Φοῖβος ἱερός
τλάω,0,4,13,"wish, owe, willing, urge",4,"suffer, undergo; hold out, endure, be patient, submit; I submitted; bore up under",οἰνοβαρής κύων ὄμμα ἔχω καρδία ἔλαφος πόλεμος λαός θωρήσσω λόχος εἶμι ἀριστεύς
ἄμφω,0,4,6,"ward, divide, resolve, apart separate",5,both,ἵημι θεά λευκώλενος Ἥρα θυμός φιλέω κήδω νέος ἐξαυδάω κεύθω νόος οἶδα
