lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y
ἱμάσσω,8,81,14,29,28,1.3767109,13.40341
ἱμείρω,6,-1,26,28,29,0.22691008,12.115072
ἱμερόεις,10,-1,10,7,4,1.2051479,9.518634
ἱππεύς,26,54,23,62,30,4.9020743,9.164832
ἱππηλάτης,11,-1,23,13,56,4.6911974,9.344278
ἱπποδάσεια,9,42,10,7,77,2.2867827,9.841378
ἱπποκορυστής,5,42,10,0,16,2.498851,10.051198
ἱπποσύνη,6,42,10,7,77,2.239194,10.0584345
ἱππόβοτος,15,-1,10,7,77,1.6031289,9.7181015
ἱππόδαμος,48,42,29,14,9,2.4260821,9.769375
ἱππόκομος,5,41,23,62,30,2.969126,9.688028
ἱππότης,37,-1,23,13,56,4.7803597,9.468209
ἱρός,21,65,3,21,70,3.331513,9.439131
ἱστίον,24,112,1,41,66,4.509847,12.413603
ἱστός,46,187,22,36,8,5.4845247,11.293392
ἴκελος,17,68,8,74,149,0.83505017,10.600662
ἴκμενος,5,-1,0,19,54,4.195512,10.187674
ἴκρια,11,112,1,41,66,4.532591,12.384251
ἴς,24,-1,25,25,20,5.7740335,9.328641
ἴσος,101,1,19,4,145,1.014512,10.341848
ἴσχω,32,-1,17,75,75,0.5299898,13.213508
ἴφθιμος,43,-1,0,58,13,2.5483942,8.486638
ἴφιος,13,-1,1,41,66,5.394605,10.311407
ἴχνιον,8,-1,1,41,66,4.6001115,12.339557
ἵζω,68,155,14,12,95,0.91643786,14.341666
ἵημι,178,-1,7,47,35,0.07380844,13.841398
ἵκω,39,226,7,47,50,-0.16389592,14.101001
ἵμερος,18,215,26,28,29,3.4979398,11.881363
ἵππειος,7,-1,23,62,30,3.3800504,9.513178
ἵππος,457,54,23,62,30,4.8365326,9.311776
ἵππουρις,6,168,10,0,16,1.7645812,10.321982
ἵστημι,442,155,14,12,95,0.8712048,14.351882
ἶφι,15,1,19,4,145,1.1539357,10.034411
Ἰδαῖος,24,-1,5,15,76,6.079353,7.9903913
Ἰδομενεύς,76,-1,5,15,76,6.8837347,8.120466
Ἰθάκη,72,11,5,24,94,5.913194,7.2143626
Ἰθακήσιος,6,14,5,15,76,5.951056,7.918536
Ἰκάριος,17,36,5,15,76,7.0115566,8.358727
Ἱππόθοος,7,-1,5,15,76,7.5400295,8.209334
Ἱππόλοχος,10,98,5,15,76,7.514789,8.3819685
Ἴδη,35,11,5,24,94,5.948976,7.2207737
Ἴλιος,113,-1,5,24,94,5.743653,7.22257
Ἴφιτος,5,97,5,15,76,7.459236,8.434918
